period,revenue,occupied_beds,usable_beds,active_tenants,occupancy_rate,occupancy_rate_raw,inventory_reliable,avg_rent_card,month_num,quarter,year,sin_m,cos_m,revenue_lag1,revenue_lag2,revenue_lag3,revenue_lag6,revenue_lag12,revenue_roll3,revenue_roll6,occupied_beds_lag1,occupancy_rate_lag1,occupied_beds_lag2,occupancy_rate_lag2,occupied_beds_lag3,occupancy_rate_lag3,occupied_roll3,tenants_lag1,usable_lag1
2025-02,2056307,159,170,165,0.9353,0.9353,True,18000.0,2,1,2025,0.8660254037844386,0.5000000000000001,1723232.0,1535358.0,1486118.0,1296783.0,709259.0,1581569.3333333333,1479340.3333333333,140.0,0.8235,146.0,0.8588,147.0,0.8647,144.33333333333334,144.0,170.0
2025-03,2242184,159,170,165,0.9353,0.9353,True,18000.0,3,1,2025,1.0,6.123233995736766e-17,2056307.0,1723232.0,1535358.0,1398120.0,815577.0,1771632.3333333333,1605927.6666666667,159.0,0.9353,140.0,0.8235,146.0,0.8588,148.33333333333334,165.0,170.0
2025-04,2423713,162,170,170,0.9529,0.9529,True,18000.0,4,2,2025,0.8660254037844387,-0.4999999999999998,2242184.0,2056307.0,1723232.0,1436431.0,984882.0,2007241.0,1746605.0,159.0,0.9353,159.0,0.9353,140.0,0.8235,152.66666666666666,165.0,170.0
2025-05,2649988,153,170,158,0.9,0.9,True,19000.0,5,2,2025,0.49999999999999994,-0.8660254037844387,2423713.0,2242184.0,2056307.0,1486118.0,1058515.0,2240734.6666666665,1911152.0,162.0,0.9529,159.0,0.9353,159.0,0.9353,160.0,170.0,170.0
2025-06,2840893,166,170,167,0.9765,0.9765,True,19000.0,6,2,2025,1.2246467991473532e-16,-1.0,2649988.0,2423713.0,2242184.0,1535358.0,1115718.0,2438628.3333333335,2105130.3333333335,153.0,0.9,162.0,0.9529,159.0,0.9353,158.0,158.0,170.0
2025-07,2752402,162,170,164,0.9529,0.9529,True,19000.0,7,3,2025,-0.4999999999999997,-0.8660254037844388,2840893.0,2649988.0,2423713.0,1723232.0,1124765.0,2638198.0,2322719.5,166.0,0.9765,153.0,0.9,162.0,0.9529,160.33333333333334,167.0,170.0
2025-08,2963647,156,191,158,0.8168,0.8168,True,19000.0,8,3,2025,-0.8660254037844385,-0.5000000000000004,2752402.0,2840893.0,2649988.0,2056307.0,1296783.0,2747761.0,2494247.8333333335,162.0,0.9529,166.0,0.9765,153.0,0.9,160.33333333333334,164.0,170.0
2025-09,3092396,177,191,179,0.9267,0.9267,True,19000.0,9,3,2025,-1.0,-1.8369701987210297e-16,2963647.0,2752402.0,2840893.0,2242184.0,1398120.0,2852314.0,2645471.1666666665,156.0,0.8168,162.0,0.9529,166.0,0.9765,161.33333333333334,158.0,191.0
2025-10,2897959,172,191,173,0.9005,0.9005,True,19000.0,10,4,2025,-0.8660254037844386,0.5000000000000001,3092396.0,2963647.0,2752402.0,2423713.0,1436431.0,2936148.3333333335,2787173.1666666665,177.0,0.9267,156.0,0.8168,162.0,0.9529,165.0,179.0,191.0
2025-11,2760389,164,191,165,0.8586,0.8586,True,19000.0,11,4,2025,-0.5000000000000004,0.8660254037844384,2897959.0,3092396.0,2963647.0,2649988.0,1486118.0,2984667.3333333335,2866214.1666666665,172.0,0.9005,177.0,0.9267,156.0,0.8168,168.33333333333334,173.0,191.0
2025-12,2570517,153,191,154,0.801,0.801,True,19000.0,12,4,2025,-2.4492935982947064e-16,1.0,2760389.0,2897959.0,3092396.0,2840893.0,1535358.0,2916914.6666666665,2884614.3333333335,164.0,0.8586,172.0,0.9005,177.0,0.9267,171.0,165.0,191.0
2026-01,2539549,143,191,144,0.7487,0.7487,True,19000.0,1,1,2026,0.49999999999999994,0.8660254037844387,2570517.0,2760389.0,2897959.0,2752402.0,1723232.0,2742955.0,2839551.6666666665,153.0,0.801,164.0,0.8586,172.0,0.9005,163.0,154.0,191.0
2026-02,2720625,153,186,154,0.8226,0.8226,True,19000.0,2,1,2026,0.8660254037844386,0.5000000000000001,2539549.0,2570517.0,2760389.0,2963647.0,2056307.0,2623485.0,2804076.1666666665,143.0,0.7487,153.0,0.801,164.0,0.8586,153.33333333333334,144.0,191.0
2026-03,2774058,160,186,161,0.8602,0.8602,True,19000.0,3,1,2026,1.0,6.123233995736766e-17,2720625.0,2539549.0,2570517.0,3092396.0,2242184.0,2610230.3333333335,2763572.5,153.0,0.8226,143.0,0.7487,153.0,0.801,149.66666666666666,154.0,186.0
2026-04,2890610,162,187,162,0.8663,0.8663,True,19000.0,4,2,2026,0.8660254037844387,-0.4999999999999998,2774058.0,2720625.0,2539549.0,2897959.0,2423713.0,2678077.3333333335,2710516.1666666665,160.0,0.8602,153.0,0.8226,143.0,0.7487,152.0,161.0,186.0
2026-05,3153828,172,187,175,0.9198,0.9198,True,19000.0,5,2,2026,0.49999999999999994,-0.8660254037844387,2890610.0,2774058.0,2720625.0,2760389.0,2649988.0,2795097.6666666665,2709291.3333333335,162.0,0.8663,160.0,0.8602,153.0,0.8226,158.33333333333334,162.0,187.0
2026-06,3300730,180,187,193,0.9626,0.9626,True,19000.0,6,2,2026,1.2246467991473532e-16,-1.0,3153828.0,2890610.0,2774058.0,2570517.0,2840893.0,2939498.6666666665,2774864.5,172.0,0.9198,162.0,0.8663,160.0,0.8602,164.66666666666666,175.0,187.0
2026-07,3337114,182,187,198,0.9733,0.9733,True,19000.0,7,3,2026,-0.4999999999999997,-0.8660254037844388,3300730.0,3153828.0,2890610.0,2539549.0,2752402.0,3115056.0,2896566.6666666665,180.0,0.9626,172.0,0.9198,162.0,0.8663,171.33333333333334,193.0,187.0
2026-08,3159088,175,197,196,0.8883,0.8883,True,19000.0,8,3,2026,-0.8660254037844385,-0.5000000000000004,3337114.0,3300730.0,3153828.0,2720625.0,2963647.0,3263890.6666666665,3029494.1666666665,182.0,0.9733,180.0,0.9626,172.0,0.9198,178.0,198.0,187.0
