period,revenue,active_tenants,occupied_beds,usable_beds,occupancy_rate,collections,collection_rate,eb_billed,month_num,quarter,sin_m,cos_m,rev_lag1,rev_lag2,rev_lag3,rev_roll3,active_lag1,occ_lag1,usable_lag1,occrate_lag1,coll_lag1,collrate_lag1,eb_billed_lag1,period_dt
2025-10,2897959,173,172,191,0.9005,3459498,1.1938,243788.0,10,4,-0.8660254037844386,0.5000000000000001,3092396.0,2963647.0,2752402.0,2936148.3333333335,179.0,177.0,191.0,0.9267,3444983.0,1.114,311108.0,2025-10-01
2025-11,2760389,165,164,191,0.8586,2869973,1.0397,251028.0,11,4,-0.5000000000000004,0.8660254037844384,2897959.0,3092396.0,2963647.0,2984667.3333333335,173.0,172.0,191.0,0.9005,3459498.0,1.1938,243788.0,2025-11-01
2025-12,2570517,154,153,191,0.801,2839121,1.1045,157352.0,12,4,-2.4492935982947064e-16,1.0,2760389.0,2897959.0,3092396.0,2916914.6666666665,165.0,164.0,191.0,0.8586,2869973.0,1.0397,251028.0,2025-12-01
2026-01,2539549,144,143,191,0.7487,3694970,1.455,150865.0,1,1,0.49999999999999994,0.8660254037844387,2570517.0,2760389.0,2897959.0,2742955.0,154.0,153.0,191.0,0.801,2839121.0,1.1045,157352.0,2026-01-01
2026-02,2720625,154,153,186,0.8226,3004031,1.1042,193302.0,2,1,0.8660254037844386,0.5000000000000001,2539549.0,2570517.0,2760389.0,2623485.0,144.0,143.0,191.0,0.7487,3694970.0,1.455,150865.0,2026-02-01
2026-03,2774058,161,160,186,0.8602,2720660,0.9808,255086.0,3,1,1.0,6.123233995736766e-17,2720625.0,2539549.0,2570517.0,2610230.3333333335,154.0,153.0,186.0,0.8226,3004031.0,1.1042,193302.0,2026-03-01
2026-04,2890610,162,162,187,0.8663,3620039,1.2523,296401.0,4,2,0.8660254037844387,-0.4999999999999998,2774058.0,2720625.0,2539549.0,2678077.3333333335,161.0,160.0,186.0,0.8602,2720660.0,0.9808,255086.0,2026-04-01
2026-05,3153828,175,172,187,0.9198,3717830,1.1788,361890.0,5,2,0.49999999999999994,-0.8660254037844387,2890610.0,2774058.0,2720625.0,2795097.6666666665,162.0,162.0,187.0,0.8663,3620039.0,1.2523,296401.0,2026-05-01
2026-06,3300730,193,180,187,0.9626,4319133,1.3085,-721641.0,6,2,1.2246467991473532e-16,-1.0,3153828.0,2890610.0,2774058.0,2939498.6666666665,175.0,172.0,187.0,0.9198,3717830.0,1.1788,361890.0,2026-06-01
2026-07,3337114,198,182,187,0.9733,3912681,1.1725,369949.0,7,3,-0.4999999999999997,-0.8660254037844388,3300730.0,3153828.0,2890610.0,3115056.0,193.0,180.0,187.0,0.9626,4319133.0,1.3085,-721641.0,2026-07-01
2026-08,3159088,196,175,197,0.8883,3067099,0.9709,,8,3,-0.8660254037844385,-0.5000000000000004,3337114.0,3300730.0,3153828.0,3263890.6666666665,198.0,182.0,187.0,0.9733,3912681.0,1.1725,369949.0,2026-08-01
