id,issue_type_id,organization_id,name,icon,description,sort_order,created_at
e6cdfdad-5d4d-4cdc-ba8d-75eadd436aa5,abc84f5b-a950-406e-ab46-cefbe11df925,00000000-0000-0000-0000-000000000001,Room not cleaned,spray-can,Scheduled room cleaning was not done,1,2026-03-18 07:58:58.536997+00
c5fece9e-46fd-4c06-a286-de4821cc0c7a,abc84f5b-a950-406e-ab46-cefbe11df925,00000000-0000-0000-0000-000000000001,Bathroom dirty,shower-head,Bathroom needs urgent cleaning,2,2026-03-18 07:58:58.536997+00
23c917ca-3956-4644-9980-4402876871e7,abc84f5b-a950-406e-ab46-cefbe11df925,00000000-0000-0000-0000-000000000001,Common area dirty,brush,Common area or corridor is unclean,3,2026-03-18 07:58:58.536997+00
003a8878-5b3a-4c68-9851-967878ced288,abc84f5b-a950-406e-ab46-cefbe11df925,00000000-0000-0000-0000-000000000001,Garbage not collected,trash-2,Garbage bin is full or not collected,4,2026-03-18 07:58:58.536997+00
d8d15b7f-d26f-432b-9580-826dd3603883,abc84f5b-a950-406e-ab46-cefbe11df925,00000000-0000-0000-0000-000000000001,Pest/insect issue,bug,"Cockroaches, ants, or other pests spotted",5,2026-03-18 07:58:58.536997+00
6eefda47-7072-462a-8049-2fdeeebe55b7,abc84f5b-a950-406e-ab46-cefbe11df925,00000000-0000-0000-0000-000000000001,Bad odor,wind,Unpleasant smell in the room or corridor,6,2026-03-18 07:58:58.536997+00
7eac7d6f-f018-45af-b8fe-39dbbad895aa,ec405235-70e9-407e-9aa2-b877f8f36af8,00000000-0000-0000-0000-000000000001,Fridge not cooling,refrigerator,Fridge is running but not cold enough,1,2026-03-18 07:58:58.536997+00
c19eb103-33ee-42d4-a3c0-93befa71283c,ec405235-70e9-407e-9aa2-b877f8f36af8,00000000-0000-0000-0000-000000000001,Fridge making noise,volume-2,Unusual humming or rattling from the fridge,2,2026-03-18 07:58:58.536997+00
19b5f527-32f5-4816-853b-f8f479eb6369,ec405235-70e9-407e-9aa2-b877f8f36af8,00000000-0000-0000-0000-000000000001,Fridge leaking,droplets,Water pooling under or inside the fridge,3,2026-03-18 07:58:58.536997+00
ea1dcb20-399c-4f89-bea4-0ec22025fb7c,ec405235-70e9-407e-9aa2-b877f8f36af8,00000000-0000-0000-0000-000000000001,Freezer icing up,snowflake,Excess ice buildup in the freezer section,4,2026-03-18 07:58:58.536997+00
6b362b04-1148-47ee-811f-c9eb4f26c355,c5f1c3c0-af88-4c54-9730-ebffed128bc9,00000000-0000-0000-0000-000000000001,Stove not working,cooking-pot,Gas or electric stove is not igniting,1,2026-03-18 07:58:58.536997+00
adfc5d0d-f7e2-4d2f-9893-54204ab4edaf,c5f1c3c0-af88-4c54-9730-ebffed128bc9,00000000-0000-0000-0000-000000000001,Microwave issue,microwave,Microwave not heating or display malfunction,2,2026-03-18 07:58:58.536997+00
6669375e-3859-4710-a919-67b9fd8b85a8,c5f1c3c0-af88-4c54-9730-ebffed128bc9,00000000-0000-0000-0000-000000000001,Mixer/grinder broken,utensils-crossed,Kitchen mixer or grinder not functioning,3,2026-03-18 07:58:58.536997+00
a1a8d2be-1631-4d32-81c8-590cbde1e97b,c5f1c3c0-af88-4c54-9730-ebffed128bc9,00000000-0000-0000-0000-000000000001,Exhaust fan issue,fan,Kitchen exhaust fan not working or noisy,4,2026-03-18 07:58:58.536997+00
7f9cc35d-4c52-45a0-856f-39a27510ebc1,01208ba1-4225-4a61-be39-3afe03dad690,00000000-0000-0000-0000-000000000001,RO not purifying,glass-water,"Water taste is off, RO may need servicing",1,2026-03-18 07:58:58.536997+00
e5355b35-7771-4b08-be72-b20c08edbff4,01208ba1-4225-4a61-be39-3afe03dad690,00000000-0000-0000-0000-000000000001,RO leaking,droplets,Water leaking from the RO unit,2,2026-03-18 07:58:58.536997+00
e2e0e7c4-c2b9-4745-9860-b1ce636e9559,01208ba1-4225-4a61-be39-3afe03dad690,00000000-0000-0000-0000-000000000001,RO filter change needed,filter,RO filter replacement is overdue,3,2026-03-18 07:58:58.536997+00
36dfe235-0cd9-4288-9eed-7afb951c29e3,01208ba1-4225-4a61-be39-3afe03dad690,00000000-0000-0000-0000-000000000001,RO not dispensing,alert-octagon,RO machine does not dispense water,4,2026-03-18 07:58:58.536997+00
22f04f01-5066-48c8-ba21-4198487c79f8,a25aca1b-211b-41d3-ab08-78bd2b9541e8,00000000-0000-0000-0000-000000000001,Toilet clogged,shower-head,Toilet is blocked and not flushing properly,1,2026-03-18 07:58:58.536997+00
a10eb1d9-72da-45e3-a4d1-b1603013198f,a25aca1b-211b-41d3-ab08-78bd2b9541e8,00000000-0000-0000-0000-000000000001,Flush not working,droplets,Flush mechanism is broken or jammed,2,2026-03-18 07:58:58.536997+00
7d4831b8-6f09-45aa-a0d2-ab70c6fa1b20,a25aca1b-211b-41d3-ab08-78bd2b9541e8,00000000-0000-0000-0000-000000000001,Tap leaking,pipette,Bathroom tap is dripping continuously,3,2026-03-18 07:58:58.536997+00
f4814482-a930-429b-acbf-c3194f91e855,a25aca1b-211b-41d3-ab08-78bd2b9541e8,00000000-0000-0000-0000-000000000001,Drain blocked,alert-octagon,Water not draining from the bathroom floor,4,2026-03-18 07:58:58.536997+00
9faa295f-aa3e-429f-a130-8d6e70798dd4,28158382-d5c1-436c-927b-3e3d9855c2af,00000000-0000-0000-0000-000000000001,Power outage in room,zap,No electricity in the room,1,2026-03-18 07:58:58.536997+00
3d6b4761-731a-4884-8234-dc093dfac56a,28158382-d5c1-436c-927b-3e3d9855c2af,00000000-0000-0000-0000-000000000001,Switch/socket broken,plug,Wall switch or power socket is damaged,2,2026-03-18 07:58:58.536997+00
c0a1bc9c-ab60-461b-9369-43e013d9cdb0,28158382-d5c1-436c-927b-3e3d9855c2af,00000000-0000-0000-0000-000000000001,Light not working,lightbulb,Room or bathroom light is not turning on,3,2026-03-18 07:58:58.536997+00
7cba2e38-4772-4245-a841-dc1ea394d8db,28158382-d5c1-436c-927b-3e3d9855c2af,00000000-0000-0000-0000-000000000001,Fan not working,fan,Ceiling or wall fan is not running,4,2026-03-18 07:58:58.536997+00
36aa3691-85e1-4c2d-a314-6054ea0559dd,28158382-d5c1-436c-927b-3e3d9855c2af,00000000-0000-0000-0000-000000000001,MCB tripping,battery-warning,Circuit breaker keeps tripping repeatedly,5,2026-03-18 07:58:58.536997+00
d309daa4-3db4-40d4-be3d-b2febd4e0306,7917cc13-aaca-4558-a2c2-8be5cd8fc159,00000000-0000-0000-0000-000000000001,No WiFi connection,wifi-off,Cannot connect to the WiFi network at all,1,2026-03-18 07:58:58.536997+00
1bf8d01c-0156-443e-8fcd-313000e74e69,7917cc13-aaca-4558-a2c2-8be5cd8fc159,00000000-0000-0000-0000-000000000001,Slow internet speed,wifi,Internet speed is very slow,2,2026-03-18 07:58:58.536997+00
284fd22a-744c-4089-9cc4-0dee3a3e68f3,7917cc13-aaca-4558-a2c2-8be5cd8fc159,00000000-0000-0000-0000-000000000001,WiFi dropping frequently,router,WiFi connection disconnects intermittently,3,2026-03-18 07:58:58.536997+00
c22fa7fd-2620-4262-85fa-7a9c25459182,7917cc13-aaca-4558-a2c2-8be5cd8fc159,00000000-0000-0000-0000-000000000001,Router issue,router,Router needs restart or replacement,4,2026-03-18 07:58:58.536997+00
e74b30b0-d6c1-48ce-8edd-4afc14d4281b,f3614e6e-8394-40cd-bbb3-b1f78e9f17c2,00000000-0000-0000-0000-000000000001,Incorrect bill amount,receipt,Monthly bill amount seems incorrect,1,2026-03-18 07:58:58.536997+00
c562e4bc-db3f-4e16-bddd-41c793a86f63,f3614e6e-8394-40cd-bbb3-b1f78e9f17c2,00000000-0000-0000-0000-000000000001,Payment not reflected,credit-card,Payment was made but not updated in the system,2,2026-03-18 07:58:58.536997+00
1a328447-07ff-464e-9dbc-6e2ca0641273,f3614e6e-8394-40cd-bbb3-b1f78e9f17c2,00000000-0000-0000-0000-000000000001,Electricity charge query,file-text,Question about electricity bill calculation,3,2026-03-18 07:58:58.536997+00
ec76e441-ebc2-4250-8850-b3aa02cdeaf4,f3614e6e-8394-40cd-bbb3-b1f78e9f17c2,00000000-0000-0000-0000-000000000001,Deposit refund pending,credit-card,Security deposit refund has not been processed,4,2026-03-18 07:58:58.536997+00
a6a43da3-29de-41b5-b7a8-5c64ada31df7,47389994-b201-4bb1-bf91-8bce4dbde510,00000000-0000-0000-0000-000000000001,Furniture damaged,wrench,"Bed, chair, table, or wardrobe is broken",1,2026-03-18 07:58:58.536997+00
2c9f782c-c119-4095-ab90-fe3a99e210e1,47389994-b201-4bb1-bf91-8bce4dbde510,00000000-0000-0000-0000-000000000001,Door/lock issue,circle-dot,Door lock is jammed or not working,2,2026-03-18 07:58:58.536997+00
0cdc8628-1004-4b7e-b441-4966198caf6a,47389994-b201-4bb1-bf91-8bce4dbde510,00000000-0000-0000-0000-000000000001,Window broken,alert-triangle,Window glass cracked or handle broken,3,2026-03-18 07:58:58.536997+00
13a0a9ac-054d-4c5f-ac6a-27706bfeb76e,47389994-b201-4bb1-bf91-8bce4dbde510,00000000-0000-0000-0000-000000000001,Other,help-circle,Any other issue not listed above,4,2026-03-18 07:58:58.536997+00
41313a18-fe81-4261-bebf-a7f65e78e04a,d76dd3bd-ccb7-4991-a01f-ce158dfe908e,00000000-0000-0000-0000-000000000001,Health Faucet Issues,circle-dot,"Health faucet not functioning properly due to leakage, low pressure, blockage, or damage.",0,2026-04-18 18:05:25.815214+00
d084d5d9-76ef-4f65-ac71-dcdb4fb91ab1,d76dd3bd-ccb7-4991-a01f-ce158dfe908e,00000000-0000-0000-0000-000000000001,Closet Seat Cover,circle-dot,"Western closet seat cover damaged, loose, or not functioning properly.",1,2026-04-18 18:06:01.468744+00
