id,organization_id,category_id,name,expected_life_months,depreciation_method,depreciation_years,maintenance_cycle_months,replacement_cost_estimate,created_at
b1000000-0000-0000-0000-000000000020,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000003,Fan,84,straight_line,7.00,12,1500.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000021,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Chair,84,straight_line,7.00,24,1500.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000022,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000003,Water Heater,84,straight_line,7.00,12,3000.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000023,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Side Table,120,straight_line,10.00,24,1000.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000024,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Shoe Stand,60,straight_line,5.00,24,500.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000025,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Side Cabinet,120,straight_line,10.00,24,2000.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000026,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000003,TV,60,straight_line,5.00,12,15000.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000027,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Kitchen Table,120,straight_line,10.00,24,2000.00,2026-04-09 06:13:07.648077+00
b1000000-0000-0000-0000-000000000028,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Cloth Dryer Stand,36,straight_line,3.00,12,500.00,2026-04-09 06:13:07.648077+00
c9000001-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Cupboard,null,straight_line,null,null,null,2026-04-10 21:42:56.147942+00
c9000001-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000001,Table Fan (Wall),null,straight_line,null,null,null,2026-04-10 21:42:56.147942+00
612c3a33-b459-4c02-b424-d2bca010aa7e,00000000-0000-0000-0000-000000000001,62a2d55f-ecf0-450d-93f1-0a260c0401a4,Health Faucet,null,straight_line,null,null,null,2026-04-18 18:03:01.989235+00
6d96fdf9-3877-4f18-bc7c-3f080fa045ab,00000000-0000-0000-0000-000000000001,62a2d55f-ecf0-450d-93f1-0a260c0401a4,Western Closet,null,straight_line,null,null,null,2026-04-18 18:04:00.908222+00
094f91af-d43e-4261-bcdc-4b25c9def229,00000000-0000-0000-0000-000000000001,62a2d55f-ecf0-450d-93f1-0a260c0401a4,Western Closet Seat Cover,null,straight_line,null,null,null,2026-04-18 18:04:09.007589+00
953d7338-83ce-4481-890e-cb8033d4b45e,00000000-0000-0000-0000-000000000001,96462059-c058-4f0a-98fa-dfaf85b80997,Others,60,straight_line,null,null,null,2026-04-22 23:35:18.023055+00
