place_id,name,formatted_address,locality,pincode,lat,lng,phone,website,rating,review_count,primary_type,maps_uri,distance_km,radius_band,is_existing,is_new_candidate,source
osm:way/181579576,Malligai,,,,13.0131181,80.2374564,,,,,hostel,https://www.openstreetmap.org/way/181579576,3.09,<= 5km,False,True,openstreetmap
osm:node/3687652329,Thamarai,"Thamarai Hostel , Anna University, chennai, 600025",chennai,600025,13.0130578,80.236584,,,,,hostel,https://www.openstreetmap.org/node/3687652329,3.132,<= 5km,False,True,openstreetmap
osm:way/181579516,block 9 suryakanthi,,,,13.0145819,80.239398,,,,,hostel,https://www.openstreetmap.org/way/181579516,3.138,<= 5km,False,True,openstreetmap
osm:way/181579533,block 5 Marutham,,,,13.0147069,80.2386957,,,,,hostel,https://www.openstreetmap.org/way/181579533,3.183,<= 5km,False,True,openstreetmap
osm:way/1225676077,Vaagai Boys Hostel,,,,13.0148464,80.2380764,,,,,hostel,https://www.openstreetmap.org/way/1225676077,3.227,<= 5km,False,True,openstreetmap
osm:way/181579520,WOMENS HOSTEL (NANDHIYA),,,,13.0139896,80.2364099,,,,,hostel,https://www.openstreetmap.org/way/181579520,3.23,<= 5km,False,True,openstreetmap
osm:way/354504497,Thazham Ext. Hostel,,,,13.0106722,80.2317489,,,,,hostel,https://www.openstreetmap.org/way/354504497,3.231,<= 5km,False,True,openstreetmap
osm:way/181579560,block 7 Sampanki,,,,13.0152621,80.2387269,,,,,hostel,https://www.openstreetmap.org/way/181579560,3.237,<= 5km,False,True,openstreetmap
osm:way/152173694,Boys Hostel Block II (Chemparuthi),,,,13.0130538,80.2343938,,,,,hostel,https://www.openstreetmap.org/way/152173694,3.261,<= 5km,False,True,openstreetmap
osm:way/181579563,block 4 mahizham ,,,,13.0148795,80.2374145,,,,,hostel,https://www.openstreetmap.org/way/181579563,3.263,<= 5km,False,True,openstreetmap
osm:way/354504523,Thazham Boys Hostel CEG,,,,13.0107748,80.2312124,,,,,hostel,https://www.openstreetmap.org/way/354504523,3.278,<= 5km,False,True,openstreetmap
osm:way/152173690,MENS HOSTEL ( ANNICHAM),,,,13.0134791,80.2344744,,,,,hostel,https://www.openstreetmap.org/way/152173690,3.295,<= 5km,False,True,openstreetmap
osm:way/181579556,block 6  mantharai,,,,13.0153868,80.2374764,,,,,hostel,https://www.openstreetmap.org/way/181579556,3.31,<= 5km,False,True,openstreetmap
osm:way/152171922,MENS HOSTEL (kurunji),,,,13.0136706,80.2344898,,,,,hostel,https://www.openstreetmap.org/way/152171922,3.312,<= 5km,False,True,openstreetmap
osm:node/2212619101,Westin,,,,12.9894247,80.2208305,,,,,hotel,https://www.openstreetmap.org/node/2212619101,3.333,<= 5km,False,True,openstreetmap
osm:way/181579565,Lavendar & Tulip,,,,13.0146212,80.2356188,,,,,hostel,https://www.openstreetmap.org/way/181579565,3.335,<= 5km,False,True,openstreetmap
osm:way/181579519,MENS HOSTEL (Aambal),,,,13.013998,80.2345437,,,,,hostel,https://www.openstreetmap.org/way/181579519,3.339,<= 5km,False,True,openstreetmap
osm:way/1152815694,Flora International Hostel,,,,13.0143786,80.2346332,,,,,hostel,https://www.openstreetmap.org/way/1152815694,3.369,<= 5km,False,True,openstreetmap
osm:node/10691381627,Ambika Nest Women's Hostel,,,,12.959704,80.2422362,,,,,hostel,https://www.openstreetmap.org/node/10691381627,3.41,<= 5km,False,True,openstreetmap
osm:way/1096215753,Somerset Greenways Chennai,"94, Satyadev Avenue",,,13.0172315,80.2705447,+914471000001,,,,hotel,https://www.openstreetmap.org/way/1096215753,3.753,<= 5km,False,True,openstreetmap
osm:node/367147772,Lemon Tree Hotel,,,,13.0111805,80.2246934,,,,,hotel,https://www.openstreetmap.org/node/367147772,3.819,<= 5km,False,True,openstreetmap
osm:way/214599077,Park Hyatt Chennai,"39, Velachery Road, Chennai, 600032",Chennai,600032,13.0106425,80.2234955,+91 44 7177 1234,https://chennai.park.hyatt.com,,,hotel,https://www.openstreetmap.org/way/214599077,3.881,<= 5km,False,True,openstreetmap
osm:node/13955966301,கருணை இல்லம்,,,,13.0155075,80.2272879,,,,,social_facility,https://www.openstreetmap.org/node/13955966301,3.953,<= 5km,False,True,openstreetmap
osm:way/1096215755,The Leela Palace Chennai,,,,13.0170473,80.274024,+914433661234,https://www.theleela.com/the-leela-palace-chennai/,,,hotel,https://www.openstreetmap.org/way/1096215755,3.956,<= 5km,False,True,openstreetmap
osm:way/1122814979,Ramada Plaza by Wyndham Chennai,,,,13.0121595,80.222397,,,,,hotel,https://www.openstreetmap.org/way/1122814979,4.08,<= 5km,False,True,openstreetmap
osm:node/13990579045,Hotel Mount Palace,,,,13.0148705,80.2246891,,,,,hotel,https://www.openstreetmap.org/node/13990579045,4.096,<= 5km,False,True,openstreetmap
osm:node/365983866,Hotel Checkers,,,,13.0142025,80.2228881,,,,,hotel,https://www.openstreetmap.org/node/365983866,4.187,<= 5km,False,True,openstreetmap
osm:way/354468676,Treebo J's Five Two Boutique,"80, 2nd Main Road, Chennai",Chennai,,13.0273996,80.2539545,,,,,hotel,https://www.openstreetmap.org/way/354468676,4.28,<= 5km,False,True,openstreetmap
osm:way/355052820,"Essentia Premier Hotel, Chennai",,,,12.9512387,80.2420969,,https://www.essentiahotels.in/,,,hotel,https://www.openstreetmap.org/way/355052820,4.321,<= 5km,False,True,openstreetmap
osm:node/4490228416,Kings Service Apartment,"81/102, Chamiers Road, Chennai, 600028",Chennai,600028,13.0284132,80.2498901,+919884335566,https://chennaiserviceapartments.com/,,,apartment,https://www.openstreetmap.org/node/4490228416,4.388,<= 5km,False,True,openstreetmap
osm:way/1112836238,"The Raintree, St Mary's Road","120, St. Mary's Road, Chennai, 600018",Chennai,600018,13.0286314,80.2526642,+914442252525,,,,hotel,https://www.openstreetmap.org/way/1112836238,4.41,<= 5km,False,True,openstreetmap
osm:node/355515112,Raintree,,,,13.028834,80.253197,,,,,hotel,https://www.openstreetmap.org/node/355515112,4.435,<= 5km,False,True,openstreetmap
osm:node/355515110,Park Sheraton Residency,,,,13.0294193,80.2495759,,,,,hotel,https://www.openstreetmap.org/node/355515110,4.502,<= 5km,False,True,openstreetmap
osm:way/355102901,The K11 Golden Gate,"104, Pasumpon Muthuramalingar Thevar Salai (Chamiers Road), Chennai, 600018",Chennai,600018,13.0292774,80.246552,+914424311611,https://www.k11rooms.in,,,hotel,https://www.openstreetmap.org/way/355102901,4.514,<= 5km,False,True,openstreetmap
osm:node/4113142689,Red Lollipop Hostel,,,,13.0278029,80.2663041,,,,,hostel,https://www.openstreetmap.org/node/4113142689,4.602,<= 5km,False,True,openstreetmap
osm:way/1095915253,Novotel,,,,13.029987,80.2442769,+914424302333,,,,hotel,https://www.openstreetmap.org/way/1095915253,4.628,<= 5km,False,True,openstreetmap
osm:node/5792649275,KG Green Meadows,"Kg Green meadows, 1st main road, 2nd Cross St, Okkiayam, Netaji Colony, Adambakkam, Chennai, Tamil Nadu 600088",,,12.9802675,80.2094316,,,,,apartment,https://www.openstreetmap.org/node/5792649275,4.669,<= 5km,False,True,openstreetmap
osm:node/9418718655,Gents Hostel,Chennai,Chennai,,13.0157168,80.2175287,,,,,hostel,https://www.openstreetmap.org/node/9418718655,4.738,<= 5km,False,True,openstreetmap
osm:node/9418718654,Ladies Hostel,Chennai,Chennai,,13.0156332,80.2170083,,,,,hostel,https://www.openstreetmap.org/node/9418718654,4.777,<= 5km,False,True,openstreetmap
osm:node/6012040746,அம்மா உணவகம்,,,,13.0315385,80.2450231,,,,,hotel,https://www.openstreetmap.org/node/6012040746,4.785,<= 5km,False,True,openstreetmap
osm:node/10594452705,The Grove Apartments,"City Link Road, 600088",,600088,12.9965718,80.2061712,,,,,apartment,https://www.openstreetmap.org/node/10594452705,4.993,<= 5km,False,True,openstreetmap
