competitor_name,distance_km_from_vishful,distance_precision,coordinate_source,is_geocoded,distance_provenance
MG Park,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Sree sai pg,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Yube1 Capital League - PG in Porur | Coliving PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
"Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar",,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Wowlife Coliving - HerNest,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
SNEHA PG,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Oester Hostel for Boys,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
THE SHIVAM LIVING PG FOR MEN'S,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
STAY GREEN PG,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Chippy Inn Tharamani,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
MCity Elite Suites,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Sree Siddhi Vinayaka Mens PG,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
SMS LADIES HOSTEL,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
SV PG Accommodation,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
WHITES INN Nearby Kilambakkam New Bus Terminal,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
The Royal Inn Ladies PG,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Sri Venkateswara mens kR hostel/PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
SRI LAXMI BALAJI PG FOR LADIES,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Dreams Neelankarai,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Best Men's PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
VSTAY INN PG FOR LADIES,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
KPA MEN'S PG & HOSTEL,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
NESTORA CO-LIVING PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Sai Balaji pg hostel for ladies,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Blue Shell,2.09,suburb_centroid_adyar,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> adyar suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Yali Service Apartment,2.72,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Amman Men's PG Hostel,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Truliv Hercules - Co-living space & PG in Navalur,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Star Men's Pg Accommodation,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Sabari Residency,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Subodhaya Paying Guest Accommodation (for Ladies),0.15,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
PG in Perungudi - Sampoorna Nilayam,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
StayBro Co-Living Spaces,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Season 4 Rentals,0.57,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Yube1 Continental League - PG in Perungudi | Coliving PG,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Yube1 Zen League - PG in Thoraipakkam | Coliving PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Maayaas Stay Ladies Hostel,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Chippy Inn,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
SRP The Pavilion,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Ojas Grand PG for Men,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Truliv Sofia - Co-living space & PG in Siruseri,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Kripa Homes pg thiruvanmiyur,0.35,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
OLive Inn PG for Men,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
D and A BOUTIQUE HOTEL,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Yube1 Madras League - PG in Chetpet | Coliving PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
VJB APARTMENT (PG Sholinganallur / AC PG for Men ),,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Yube1 Sarmani,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Kolam Gandhi Serviced Apartments,2.17,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Raga's PG (Paying Guest) Boy's Hostel,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
VJB House PG,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
The Adyar House Boutique Homestays,2.09,suburb_centroid_adyar,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> adyar suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
The K11 Golden Gate - Chennai,2.09,suburb_centroid_adyar,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> adyar suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Stanza Living Fernley House | Coliving PG in Urapakkam,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Stanza Living Conway House | Coliving PG in Navalur,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Olive Serviced Apartments,2.52,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Hotel O Guduvancheri Railway Station,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
SMS Gents Hostel,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Diyaa Paying Guest,0.5,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Sumathi Illam,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Feel At Home Ladies Hostel,4.14,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Emy PG Accommodation (Men),,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Sri Maha Hostels (Ladies),,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Tidel Hostel (Co-ed),,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
SVH Gents PG,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Triples Men's PG,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Olympia Jayanthi Residences,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Kushi Enclave,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Lancor Sonnet Square,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Bress Flat,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
11L - K427 Apartments,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Stanza Living,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Zolo,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Yube1 Liberty League,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Bag2Bag Service Apartments,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
