competitor_name,source_type,source_url,source_verification,source_provenance
Lancor Sonnet Square,NoBroker,https://www.nobroker.in/lancor-sonnet-square-thiruvanmiyur_chennai-prjt-5e972e1ea5a1662dac0a8fbf,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
MCity Elite Suites,Trip.com,https://www.trip.com/hotels/mahabalipuram-hotel-detail-123804839/mcity-elite-suites/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
MG Park,Booking.com,https://www.booking.com/hotel/in/mgpark-unit-of-mg-resorts.html,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
MG Park,Goibibo,https://www.goibibo.com/hotels/mgpark-hotel-in-chennai-9177101876794253246/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
MR Regency PG Hostel,Official,https://www.mrregency.in/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Maayaas Stay Ladies Hostel,Official,http://www.maayaas.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Maayaas Stay Ladies Hostel,Sulekha,https://www.sulekha.com/maayaas-stay-ladies-hostel-potheri-chennai-contact-address,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),Justdial,https://www.justdial.com/Chennai/Nestora-Elite-Co-Living-Pg-Perungudi/044PXX44-XX44-251018092119-Y9F6_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Oester Hostel for Boys,Official,https://www.oester.co.in/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Ojas Grand PG for Men,Sulekha,https://www.sulekha.com/ojas-grand-pg-for-men-perungudi-chennai-contact-address,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Olympia Jayanthi Residences,NoBroker,https://www.nobroker.in/olympia-jayanthi-residences-thiruvanmiyur-chennai_chennai-prjt-5e972a96a5a1662dac0a64b1,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Olympia Jayanthi Residences,Olympia,https://www.olympiagroup.in/olympia-jayanthi-residence/index.html,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Oragadam Rooms,EaseMyTrip,https://www.easemytrip.com/hotels/oragadam-rooms-2662586/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Oragadam Rooms,Official,http://oragadamrooms.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
PG in Perungudi - Sampoorna Nilayam,Official,https://sampoornapg.in/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Raga's PG (Paying Guest) Boy's Hostel,Justdial,https://www.justdial.com/Chennai/Ragas-Paying-Guest-Near-DLF-and-SRM-College-Ramapuram/044PXX44-XX44-230628104226-H4H5_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Riya Ladies PG,Justdial,https://www.justdial.com/Chennai/Riya-Ladies-Pg-Perungudi/044PXX44-XX44-241110041430-L4N9_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
SMS Gents Hostel,Sulekha,https://www.sulekha.com/sms-gents-hostel-potheri-chennai-contact-address,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,Official,https://spsmenspg.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
SRK Hostel,Justdial,https://www.justdial.com/Chengalpattu/Srk-Hostel-Srm-Nagar/9999PXX44-XX44-241017030942-K3P7_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
SRP The Pavilion,Official,http://www.srpthepavilion.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
SRP The Pavilion,Official,https://srpthepavilion.com/contact.php,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
STAY GREEN PG,Official,http://www.staygreenpg.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
SV PG Accommodation,Justdial,https://www.justdial.com/Chennai/Sv-Pg-Accommodation-Post-Office-Thiruvanmiyur/044PXX44-XX44-230315120556-S9M7_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sabari Residency,Official,http://sabariresidency.com/?utm_source=gmb&utm_medium=referral,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Sai Balaji pg hostel for ladies,Justdial,https://www.justdial.com/Chengalpattu/Sai-Balaji-Ladies-Hostel-Near-Srm-College-Potheri/9999PXX44-XX44-170907024813-C1M8_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sai Balaji pg hostel for ladies,Sulekha,https://www.sulekha.com/sai-balaji-pg-for-ladies-potheri-chennai-contact-address,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Season 4 Rentals,Official,https://season4.in/season-4-rentals-thiruvanmiyur/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,Official,https://skylinnstays.localo.site/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,Official,https://skylinnstays.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Sree Siddhi Vinayaka Mens PG,Magicpin,https://magicpin.in/Chennai/Perungudi/Hotel/Sree-Siddhi-Vinayaka-Mens-Pg/store/bb9191,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sree sai pg,Justdial,https://www.justdial.com/Chennai/Sree-Sai-Paying-Guest-Perungudi/044PXX44-XX44-220511083445-J3C2_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sri Maha Hostels (Ladies),Official,https://srimahahostels.com/branches/thiruvanmiyur-ladies-hostel,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sri Maha Hostels (Ladies),Official,https://www.srimahahostels.com/our-branches.php,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Sri Mahalakshmi PG Accommodation,Official,https://mahalakshmipgaccommodation.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Sri Mahalakshmi PG Accommodation,Official,https://mahalakshmipgaccommodation.com/contactus,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sri Sai Balaji Ladies PG,Justdial,https://www.justdial.com/Chennai/Sri-Sai-Balaji-Ladies-Pg-Nehru-Nagar-Perungudi/044PXX44-XX44-240817021657-T5C6_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sri Sai Grn Men's Pg & Hostel,Magicpin,https://magicpin.in/Chennai/Gst-Road/Hotel/Sri-Sai-Grn-Mens-Pg-and-Hostel/store/21a0539,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Sri Venkata Vishnu Priya Gents Hostel,Justdial,https://www.justdial.com/Chengalpattu/Sri-Venkata-Vishnu-Priya-Gents-Hostel-ChengalpattuPotheri/9999PXX44-XX44-230314030955-Y5D8_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Stanza Living,Stanza Living,https://www.stanzaliving.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Stanza Living Conway House | Coliving PG in Navalur,Stanza Living,https://www.stanzaliving.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Stanza Living Conway House | Coliving PG in Navalur,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-old-mahabalipuram-road/co_ed/conway-house,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Stanza Living Fernley House | Coliving PG in Urapakkam,Stanza Living,https://www.stanzaliving.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Stanza Living Fernley House | Coliving PG in Urapakkam,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-urapakkam/co_ed/fernley-house,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Star Men's Pg Accommodation,Official,https://lyzoo.co.in/starmenspg,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,Tripadvisor,https://www.tripadvisor.in/Hotel_Review-g304556-d5308922-Reviews-StayEasy_Tiruvanmiyur_Unit_of_Prohotel-Chennai_Madras_Chennai_District_Tamil_Nadu.html,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Stay N Tour Home | Best Rooms In Adyar,Official,https://stay-n-tour.localo.site/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Stay N Tour Home | Best Rooms In Adyar,Official,https://stay-n-tour.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,Prohotel,https://www.prohotel.in/locations/staylite-suites-tiruvanmiyur?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Sumathi Illam,Official,https://mypgatchennai.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
"Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar",Prohotel,https://www.prohotel.in/locations/swarna-sudarshan-adyar?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
THE SHIVAM LIVING PG FOR MEN'S,Justdial,https://www.justdial.com/Chennai/The-Shivam-Living-Pg-For-Mens-Near-Tamil-Technologies-Egattur/044PXX44-XX44-230101030357-V7J1_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
TSP PG ACCOMADTION,Official,https://tsppgaccommodation.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
The Adyar House Boutique Homestays,Official,https://theadyarhouse.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
The K11 Golden Gate - Chennai,Booking.com,https://www.booking.com/hotel/in/the-k11-golden-gate.html,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
The K11 Golden Gate - Chennai,Trip.com,https://us.trip.com/hotels/chennai-hotel-detail-127649348/the-k11-golden-gate/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
The Royal Inn Gents PG,Official,https://royalinngentspg.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
The Royal Inn Gents PG,Official,https://www.royalinngentspg.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
The Royal Inn Ladies PG,Official,https://theroyalinnladiespg.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
The Royal Inn Ladies Pg (Maple Nest),Official,https://theroyalinnladiespg.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
The Royal Inn Ladies Pg (Maple Nest),Official,https://www.theroyalinnladiespg.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Tidel Hostel (Co-ed),Official,https://tidelhostel.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Truliv Hercules - Co-living space & PG in Navalur,Truliv,https://truliv.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Truliv Hercules - Co-living space & PG in Navalur,Truliv,https://truliv.in/coliving-rent-in-chennai/pgs-near-omr/truliv-hercules,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Truliv Sofia - Co-living space & PG in Siruseri,Truliv,https://truliv.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
VIJAY PAYING GUEST LUXURY HOSTEL,HexaHome,https://www.hexahome.in/vijay-paying-guest-pg-in-adyar-chennai-id-FDNQAF/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
VJB APARTMENT (PG Sholinganallur / AC PG for Men ),Official,http://vjbhouse.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
VJB House PG,Official,http://vjbhouse.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
VJB House PG,Official,https://vjbhouse.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Venkat Ramana PG Hostel for Ladies,Justdial,https://www.justdial.com/Chengalpattu/Venkat-Ramana-P-G-For-Ladies-Near-Cake-Velley-Building-Potheri/9999PXX44-XX44-240505133740-R9B2_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
WHITES INN Nearby Kilambakkam New Bus Terminal,OYO,https://www.oyorooms.com/239933/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
WHITES INN Nearby Kilambakkam New Bus Terminal,The India Hotels,http://www.theindiahotels.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
WHITES INN VANDALUR,The India Hotels,http://www.theindiahotels.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
WowLife Coliving PFLG (Perungudi),Justdial,https://www.justdial.com/Chennai/Wowlife-Coliving-Pvt-Ltd-Perungudi/044PXX44-XX44-191112205927-X4R6_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Wowlife Coliving - HerNest,WowLife,https://wowlifecoliving.com/hostel/wowlife-coliving-velachery-hernest,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yali Service Apartment,Trip.com,https://in.trip.com/hotels/chennai-hotel-detail-61930911/ulo-yali-service-apartment/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Alpha-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Capital League - PG in Porur | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Capital League - PG in Porur | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Capital-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Continental League - PG in Perungudi | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Continental League - PG in Perungudi | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Continental-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Emerald League - PG in Perungudi | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Emerald-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Emerald League - PG in Perungudi | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Liberty League,Yube1,https://www.yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Liberty League,Yube1,https://www.yube1.in/property-details/Yube1-Liberty-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Madras-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Millennial-Campus,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Premier-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Sarmani,Yube1,https://www.yube1.in/property-details/Yube1-Sarmani,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Sarmani,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Yube1 Zen League - PG in Thoraipakkam | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Zen-League,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Yube1 Zen League - PG in Thoraipakkam | Coliving PG,Yube1,https://yube1.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Zolo,Zolo,https://zolostays.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
