property_name,operator,operator_source_type,locality,pincode,distance_from_vishful_km,distance_basis,source_platform,source_url,source_evidence_type,sharing_type,published_rent,price_basis,price_evidence,review_evidence,amenities,amenity_provenance,provenance
Sri Srinivasa PG for Ladies,independent,independent,"Kandanchavadi, Perungudi, Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Justdial / Sulekha,https://www.sulekha.com/sri-srinivasa-pg-for-ladies-perungudi-chennai-contact-address,third_party_platform_listing,"3-sharing, 4-sharing, 6-sharing, AC, non-AC",,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"WiFi, washing machine, TV, North & South Indian food, 24/7 water, night security, CCTV",third_party_platform_listed,platform listing sweep (perungudi); identity confirmed name+locality
Om Sai Nivas Mens PG,independent,independent,"Perungudi, Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Justdial,https://www.justdial.com/Chennai/Om-Sai-Nivas-Mens-Pg-Perungudi/044PXX44-XX44-160811090702-T3V9_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"AC rooms, WiFi, CCTV, full power backup",third_party_platform_listed,platform listing sweep (perungudi); identity confirmed name+locality
Ramya Men's PG (Hostel),independent,independent,"Thirumalai Nagar Annexe, Perungudi (OMR), Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Justdial / Sulekha,https://www.sulekha.com/ramya-mens-pg-hostel-perungudi-chennai-contact-address,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (perungudi); identity confirmed name+locality
SLV Ladies PG (Slv Ladies Paying Guest),independent,independent,"Perungudi, Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Justdial,https://www.justdial.com/Chennai/Slv-Ladies-Pg-Perungudi/044PXX44-XX44-250728200326-N4T6_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (perungudi); identity confirmed name+locality
A2J PG Accommodation,independent,independent,"Perungudi, Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Sulekha,https://www.sulekha.com/a2j-pg-accommodation-perungudi-chennai-contact-address,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (perungudi); identity confirmed name+locality
PMD Gents Hostel,independent,independent,"Perungudi, Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Sulekha,https://www.sulekha.com/pg-for-mens/perungudi-chennai,third_party_platform_listing,"2-sharing, 3-sharing","Rs.5,000 (2-share); Rs.4,500 (3-share)",SHARING_SPECIFIC,"Rs.5,000 (2-share); Rs.4,500 (3-share)",ratings only (no review text collected),,none,platform listing sweep (perungudi); identity confirmed name+locality
Adhilakshmi Ladies Hostel,independent,independent,"Lakshmana Nagar, Perungudi, Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Sulekha,https://www.sulekha.com/pg-for-womens/perungudi-chennai,third_party_platform_listing,,"Rs.3,500 to 6,500/month",RANGE,"Rs.3,500 to 6,500/month",ratings only (no review text collected),,none,platform listing sweep (perungudi); identity confirmed name+locality
Sri Malarvizhi Mens Hostel,independent,independent,"Seevaram, Perungudi, Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Sulekha,https://www.sulekha.com/pg-for-mens/perungudi-chennai,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (perungudi); identity confirmed name+locality
Pk Inn Gents & Ladies Pg Hostel,independent,independent,Thoraipakkam,,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Justdial,https://www.justdial.com/Chennai/Pk-Inn-Gents-Ladies-Pg-Hostel-Thoraipakkam/044PXX44-XX44-180205205247-Y1H6_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Modern PG Men's Hostel (Behind Chennai One) / SS Modern PG Men's Hostel (OMR),independent,independent,Thoraipakkam,,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Justdial + Sulekha,https://www.justdial.com/Chennai/Modern-PG-Mens-Hostel-Behind-Chennai-One-Thoraipakkam/044PXX44-XX44-200108183647-C8J1_BZDET,third_party_platform_listing,AC / non-AC,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Sri Sai Ram Ladies & Gents Hostel,independent,independent,Thoraipakkam,,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Justdial,https://www.justdial.com/Chennai/Sri-Sai-Ram-Ladies-Gents-Hostel-Near-Thoraipakkam-Police-Station-Thoraipakkam/044PXX44-XX44-180508211701-J7J9_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
RK Mens PG Hostel,independent,independent,Thoraipakkam,,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Justdial,https://www.justdial.com/Chennai/RK-Mens-PG-Hostel-Thoraipakkam-chennai1-tolgate-near-by-Thoraipakkam/044PXX44-XX44-170505102511-L3J6_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Rudhra Men's PG Hostel,independent,independent,Thoraipakkam,,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Dorms.com,https://www.dorms.com/youth-Hostel/Rudhra-Mens-PG-Hostel-Thoraipakkam-OMR/BK14769059,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Pearlcastles Gents Hostel,independent,independent,Thoraipakkam,,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),PGchoice,https://www.pgchoice.com/details/pearlcastles-gents-hostel-mens-pg-in-thoraipakkam-omr-700,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
My Home Ladies Hostel & PG (AC),independent,independent,Thoraipakkam,,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Sulekha,https://www.sulekha.com/my-home-ladies-hostel-pg-thoraipakkam-chennai-contact-address,third_party_platform_listing,AC rooms with attached restrooms,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"AC, CCTV, WiFi, TV/DTH, purified water, warden 24x7, two-wheeler parking, washing machine, fridge, veg & non-veg food",third_party_platform_listed,platform listing sweep (omr); identity confirmed name+locality
Amman Ladies Hostel & Pg Accommodation,independent,independent,Kottivakkam,,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),Justdial,https://www.justdial.com/Chennai/Amman-Ladies-Hostel-Pg-Accommodation-Behind-HCL-Near-Kottivakkam-Fish-Market-Bus-Stop-Kottivakkam/044PXX44-XX44-160618082848-Y7K3_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Dharani PG Ladies Hostel,independent,independent,Kottivakkam,,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),Sulekha,https://www.sulekha.com/dharani-pg-ladies-hostel-kottivakkam-chennai-contact-address,third_party_platform_listing,single sharing,"Rs.5,400/month (single sharing)",SHARING_SPECIFIC,"Rs.5,400/month (single sharing)",ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Mahalakshmi Ladies Hostel,independent,independent,Kottivakkam,,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),Sulekha,https://www.sulekha.com/mahalakshmi-ladies-hostel-kottivakkam-chennai-contact-address,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"AC, common TV, parking, WiFi/broadband, geyser, mineral/filter drinking water",third_party_platform_listed,platform listing sweep (omr); identity confirmed name+locality
Poomalai Ladies Hostel PG,independent,independent,Kottivakkam,,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),HomeLikePG,https://homelikepg.com/chennai/kottivakkam/poomalai-ladies-hostel-pg/2c3b46e2ceaa,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Saibaba Ladies PG & Hostel (Sai Baba Women Hostel),independent,independent,Kottivakkam,,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),Sulekha / WebSearch,https://www.sulekha.com/pg/kottivakkam-chennai,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Grace Home Ladies Hostel,independent,independent,Kottivakkam,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Sulekha,https://www.sulekha.com/womens-hostel/kottivakkam-chennai,third_party_platform_listing,AC / non-AC,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"24-hr water, marble flooring, TV, AC/non-AC, homely hygienic food",third_party_platform_listed,platform listing sweep (omr); identity confirmed name+locality
YMCA Working Women's Hostel,independent,independent,Kottivakkam,,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),Sulekha / WebSearch,https://www.sulekha.com/pg/kottivakkam-chennai,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (omr); identity confirmed name+locality
Oasis PG For Men,independent,independent,"Potheri / SRM Nagar, Kattankulathur",,Unknown,coarse_srm_cluster_median(existing geocoded SRM competitors),JustDial; gopgo.in,https://www.justdial.com/Chengalpattu/Oasis-PG-For-Men-Near-Srm-University-Potheri/9999PXX44-XX44-181212122515-D9G9_BZDET,third_party_platform_listing,"Private room, 2-share, 3-share",Not displayed as numeric on listing (described affordable/budget),UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"AC available, free Wi-Fi (per listing)",third_party_platform_listed,platform listing sweep (kattankulathur); identity confirmed name+locality
A S R PG (ASR PG),independent,independent,"SRM Nagar / Potheri, Kattankulathur",,Unknown,coarse_srm_cluster_median(existing geocoded SRM competitors),JustDial,https://www.justdial.com/Chengalpattu/A-S-R-Pg-Behind-SRM-University-Near-TRS-Potheri-Thailavaram-Kattankulathur-Srm-Nagar/9999PXX44-XX44-231216124355-E9F5_BZDET,third_party_platform_listing,Not displayed,Not displayed,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),Not explicitly displayed,third_party_platform_listed,platform listing sweep (kattankulathur); identity confirmed name+locality
Srinivasa Gents Accommodation (Srinivasa Paying Guest),independent,independent,"Samundeswari Nagar, Potheri, Kattankulathur",,Unknown,coarse_srm_cluster_median(existing geocoded SRM competitors),JustDial; NoBroker,https://www.justdial.com/Chengalpattu/Srinivasa-Gents-Accommodation-Near-Disco-Chettinadu-RestarentNear-SRM-Potheri/9999PXX44-XX44-151019120550-Q2P7_BZDET,third_party_platform_listing,Shared (per NoBroker),"₹12,000/month (NoBroker listing)",FLAT_DISPLAYED,"₹12,000/month (NoBroker listing)",ratings only (no review text collected),Not explicitly displayed,third_party_platform_listed,platform listing sweep (kattankulathur); identity confirmed name+locality
Zolo Logos,Zolo,operator:Zolo,"Adyar, Chennai",600020,2.09,coarse_suburb_centroid_adyar(Nominatim),Zolo,https://zolostays.com/pg-hostel-near-adyar-in-chennai-zolo_logos-zolgs,operator:Zolo (browser-rendered),"Private,2,3,4-sharing","2-sharing ₹16,791; 3-sharing ₹14,442; starts ₹13,720",SHARING_SPECIFIC,"2-sharing ₹16,791; 3-sharing ₹14,442; starts ₹13,720",not collected,"Parking, TV, Refrigerator, Power Backup, CCTV, Housekeeping, WiFi, Lift, Drinking Water",operator:Zolo self-listed,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; food vendors nearby (not Zolo-provided)"
Zolo Playa,Zolo,operator:Zolo,"Kottivakkam, Chennai",600041,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),Zolo,https://zolostays.com/pg-hostel-near-kottivakkam-in-chennai-zolo_playa-zch026,operator:Zolo (browser-rendered),"Private,2,3,4-sharing","Private ₹17,835; 2-sharing ₹9,352; 3-sharing ₹8,613; 4-sharing ₹7,656",SHARING_SPECIFIC,"Private ₹17,835; 2-sharing ₹9,352; 3-sharing ₹8,613; 4-sharing ₹7,656",not collected,"Parking, TV, Refrigerator, Power Backup, CCTV, Security, AC, WiFi, Drinking Water",operator:Zolo self-listed,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; Food is not available in Zolo Playa (order/dine-in nearby)"
Zolo Playa B,Zolo,operator:Zolo,"Kottivakkam, Chennai",600041,2.05,coarse_suburb_centroid_kottivakkam(Nominatim),Zolo,https://zolostays.com/pg-hostel-near-kottivakkam-in-chennai-zolo_playa_b-zlpb,operator:Zolo (browser-rendered),starting-price only,"starts ₹10,745",STARTING_FROM,"starts ₹10,745",not collected,,none,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Vibe,Zolo,operator:Zolo,"Perungudi, Chennai",600096,2.37,coarse_suburb_centroid_perungudi(Nominatim),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,operator:Zolo (browser-rendered),starting-price only,"starts ₹9,135",STARTING_FROM,"starts ₹9,135",not collected,,none,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Aura,Zolo,operator:Zolo,"Perungudi, Chennai",600096,2.37,coarse_suburb_centroid_perungudi(Nominatim),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,operator:Zolo (browser-rendered),starting-price only,"starts ₹9,396",STARTING_FROM,"starts ₹9,396",not collected,,none,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Thrones,Zolo,operator:Zolo,"Perungudi, Chennai",600096,2.37,coarse_suburb_centroid_perungudi(Nominatim),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,operator:Zolo (browser-rendered),starting-price only,"starts ₹10,745",STARTING_FROM,"starts ₹10,745",not collected,,none,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Abode,Zolo,operator:Zolo,"Perungudi, Chennai",600096,2.37,coarse_suburb_centroid_perungudi(Nominatim),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,operator:Zolo (browser-rendered),starting-price only,"starts ₹8,798",STARTING_FROM,"starts ₹8,798",not collected,,none,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; "
Zolo Bohemia,Zolo,operator:Zolo,"Thoraipakkam, Chennai",600097,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,operator:Zolo (browser-rendered),starting-price only,"starts ₹10,414",STARTING_FROM,"starts ₹10,414",not collected,,none,"zolostays.com per-locality page, browser-rendered 2026-08; gender men; "
Zolo Sereno,Zolo,operator:Zolo,"Thoraipakkam, Chennai",600097,4.58,coarse_suburb_centroid_thoraipakkam(Nominatim),Zolo,https://zolostays.com/pgs-in-perungudi-chennai,operator:Zolo (browser-rendered),starting-price only,"starts ₹10,361",STARTING_FROM,"starts ₹10,361",not collected,,none,"zolostays.com per-locality page, browser-rendered 2026-08; gender unisex; "
