source,topic,observation,evidence,business_implication,possible_vishful_action,disclaimer
review_decision_candidate,room_quality,"room_quality: 43 reviews across 9 independent PGs (+39/-1, pain=2)","pgs=9, reviews=43, avg_specificity=0.67, consistency=0.95 | PARTIAL: 158 Furniture tickets; room config known",complaint_volume/occupancy,Operational: reduce room_quality issues first (1 negative mentions; Vishful 158 own room_quality tickets); then market room_quality,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,location,"location: 30 reviews across 8 independent PGs (+26/-1, pain=2)","pgs=8, reviews=30, avg_specificity=0.63, consistency=0.93 | FIXED: Vishful Thiruvanmiyur 600041 (fixed); 14 vacant beds",occupancy(marketing),Reinforces existing DEC-LOC-MKT — review-derived supporting evidence (do NOT duplicate the decision),Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,cleanliness,"cleanliness: 32 reviews across 9 independent PGs (+28/-3, pain=3)","pgs=9, reviews=32, avg_specificity=0.77, consistency=0.81 | VERIFIED: housekeeping verified; 118 Cleaning tickets",complaint_volume/retention,Operational: reduce cleanliness issues first (3 negative mentions; Vishful 118 own cleanliness tickets); then market cleanliness,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,staff,"staff: 66 reviews across 8 independent PGs (+53/-11, pain=12)","pgs=8, reviews=66, avg_specificity=0.61, consistency=0.66 | PROXY_ONLY: tenant_rating 1020/1026 rated (own satisfaction proxy)",retention,Reinforces existing DEC-RETENTION-REVIEW — review-derived supporting evidence (do NOT duplicate the decision),Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,value,"value: 26 reviews across 8 independent PGs (+20/-4, pain=4)","pgs=8, reviews=26, avg_specificity=0.58, consistency=0.67 | INTERNAL: own rate card; pricing-review candidates",occupancy/revenue,Reinforces existing DEC-PRICEREV-Triple — review-derived supporting evidence (do NOT duplicate the decision),Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,ac,"ac: 7 reviews across 5 independent PGs (+5/-1, pain=1)","pgs=5, reviews=7, avg_specificity=0.86, consistency=0.67 | VERIFIED: 110 AC units; 5 vacant AC beds; 304 AC maintenance tickets",occupancy/complaint_volume,Reinforces existing DEC-AMEN-AC — review-derived supporting evidence (do NOT duplicate the decision),Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,laundry,"laundry: 6 reviews across 3 independent PGs (+5/-0, pain=0)","pgs=3, reviews=6, avg_specificity=0.75, consistency=1.0 | VERIFIED: washing machines verified; 132 tickets",complaint_volume/marketing,Marketing: highlight verified Vishful laundry (market values it; Vishful laundry = VERIFIED),Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,food,"food: 19 reviews across 7 independent PGs (+16/-2, pain=3)","pgs=7, reviews=19, avg_specificity=0.68, consistency=0.78 | UNKNOWN: no food-service evidence (kitchen assets only) — status UNKNOWN",lead_conversion(if added),"Owner-verify Vishful food (recurring market signal across 7 PGs, +16/-2); if genuinely absent, evaluate as an amenity/product gap. Do NOT claim presence/absence.",Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,sharing,"sharing: 2 reviews across 2 independent PGs (+2/-0, pain=0)","pgs=2, reviews=2, avg_specificity=1.0, consistency=1.0 | VERIFIED: Single/Double/Triple inventory + vacancy",occupancy/vacant_bed_days,"Informational only — insufficient breadth/impact (2 PGs, 2 reviews)",Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,water,"water: 4 reviews across 3 independent PGs (+3/-1, pain=2)","pgs=3, reviews=4, avg_specificity=0.88, consistency=0.5 | VERIFIED: RO verified; 134 RO Water tickets",complaint_volume,Operational: reduce water issues first (1 negative mentions; Vishful 134 own water tickets); then market water,Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,common_area,"common_area: 3 reviews across 2 independent PGs (+2/-0, pain=0)","pgs=2, reviews=3, avg_specificity=0.67, consistency=1.0 | VERIFIED: common area verified (issue-data)",marketing,Marketing: highlight verified Vishful common_area (market values it; Vishful common_area = VERIFIED),Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,wifi,"wifi: 2 reviews across 2 independent PGs (+1/-0, pain=1)","pgs=2, reviews=2, avg_specificity=0.75, consistency=1.0 | VERIFIED: Wi-Fi verified (own issue-data); 65 Internet tickets",complaint_volume/marketing,"Informational only — insufficient breadth/impact (2 PGs, 2 reviews)",Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,security,"security: 11 reviews across 7 independent PGs (+8/-2, pain=2)","pgs=7, reviews=11, avg_specificity=0.86, consistency=0.6 | UNKNOWN: CCTV/security status UNKNOWN (not in Vishful data)",lead_conversion/occupancy(if added),"Owner-verify Vishful security (recurring market signal across 7 PGs, +8/-2); if genuinely absent, evaluate as an amenity/product gap. Do NOT claim presence/absence.",Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,safety,"safety: 7 reviews across 4 independent PGs (+6/-1, pain=1)","pgs=4, reviews=7, avg_specificity=0.93, consistency=0.71 | UNKNOWN: safety status UNKNOWN (linked to CCTV/security)",lead_conversion/occupancy(if added),"Owner-verify Vishful safety (recurring market signal across 4 PGs, +6/-1); if genuinely absent, evaluate as an amenity/product gap. Do NOT claim presence/absence.",Decision support — not an automatic business decision. Market context only; no competitor ranking.
review_decision_candidate,parking,"parking: 7 reviews across 4 independent PGs (+5/-1, pain=2)","pgs=4, reviews=7, avg_specificity=0.86, consistency=0.67 | UNKNOWN: parking status UNKNOWN",lead_conversion/occupancy(if added),"Owner-verify Vishful parking (recurring market signal across 4 PGs, +5/-1); if genuinely absent, evaluate as an amenity/product gap. Do NOT claim presence/absence.",Decision support — not an automatic business decision. Market context only; no competitor ranking.
