candidate_name,property_type,gender,dashboard_locality,distance_km,distance_precision,within_1km,within_2km,within_3km,within_5km,official_url,official_site_verified,is_operator_or_aggregator,reject_as_pricing_source,monthly_rent_per_bed,sharing_type,AC,price_confidence,price_source_url,evidence,verification_status,real_property,name_source,collection_date
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,hotel,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,,,,unknown,,"real hotel (Kottivakkam 600041, 'Unit of Prohotel'); OTA listings only; nightly",verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
WHITES INN VANDALUR,serviced_apartment,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,True,,,,unknown,,hotel (existing tracked); OTA only,verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
Sri Venkata Vishnu Priya Gents Hostel,mens_pg,men,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,gents hostel Kattankulathur (existing tracked); listings only,verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
Sri Mahalakshmi PG Accommodation,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,https://mahalakshmipgaccommodation.com/,True,False,False,,,,unknown,,own PG site; no per-bed price,verified_real_first_party_site,real,vishful_dashboard_screenshot,2026-08-14
Aostel - Men's PG/ Hostel in Anna Salai,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,men's PG Anna Salai (existing tracked); listings only,verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,Groq wrongly mapped to Emy PG; no distinct own site,identity_unconfirmed_no_first_party,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Stay N Tour Home | Best Rooms In Adyar,serviced_apartment,unknown,Adyar,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
SRK Hostel,pg_unknown_gender,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Riya Ladies PG,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Venkat Ramana PG hostel for Gents,mens_pg,men,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Bhavani pg,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,Groq 429; no distinct listing/own site,identity_unconfirmed_no_first_party,unconfirmed,vishful_dashboard_screenshot,2026-08-14
TSP PG ACCOMADTION,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://tsppgaccommodation.com/,True,False,False,,,,unknown,,"own PG site; enquiry only, no per-bed price",verified_real_first_party_site,real,vishful_dashboard_screenshot,2026-08-14
NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,True,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Sri Sai Balaji Ladies PG,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Oragadam Rooms,unknown,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,co_living,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
The Royal Inn Gents PG,mens_pg,men,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
The Royal Inn Ladies Pg (Maple Nest),womens_pg,women,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Sri Sai Grn Men's Pg & Hostel,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
MR Regency PG Hostel,pg_unknown_gender,unknown,Adyar,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
TSP MENS PG,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,https://tsppgaccommodation.com/,True,False,False,,,,unknown,,"own PG site; enquiry only, no per-bed price",verified_real_first_party_site,real,vishful_dashboard_screenshot,2026-08-14
Venkat Ramana PG Hostel for Ladies,womens_pg,women,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
MG Park,unknown,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,2-star hotel Thiruvanmiyur; OTA only,verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
Sree sai pg,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Yube1 Capital League - PG in Porur | Coliving PG,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
"Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar",hotel,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,,,,unknown,,serviced apt (Sholinganallur/Adyar); OTA only; nightly,verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
Wowlife Coliving - HerNest,co_living,women,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
SNEHA PG,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,no own domain,identity_weak_no_first_party,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Oester Hostel for Boys,mens_pg,men,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
THE SHIVAM LIVING PG FOR MEN'S,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
STAY GREEN PG,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Chippy Inn Tharamani,serviced_apartment,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
MCity Elite Suites,serviced_apartment,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Sree Siddhi Vinayaka Mens PG,mens_pg,men,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,"REAL: CBI Colony Perungudi 600096, ph 9557795579; listings only",verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
SMS LADIES HOSTEL,womens_pg,women,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
SV PG Accommodation,pg_unknown_gender,unknown,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,an 'SV PG' at Arumbakkam 600106 (out of area); likely different property,identity_ambiguous_possible_out_of_area,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,hotel,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,,,,unknown,,real hotel OMR; OTA only; nightly,verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
WHITES INN Nearby Kilambakkam New Bus Terminal,serviced_apartment,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,True,,,,unknown,,hotel (existing tracked); OTA only,verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
The Royal Inn Ladies PG,womens_pg,women,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Sri Venkateswara mens kR hostel/PG,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
SRI LAXMI BALAJI PG FOR LADIES,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Dreams Neelankarai,unknown,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,womens_pg,women,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,no own site/authoritative listing found,identity_unconfirmed_no_first_party,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Best Men's PG,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,"Groq 413; generic name, no distinct listing",identity_unconfirmed_generic_name,unconfirmed,vishful_dashboard_screenshot,2026-08-14
VSTAY INN PG FOR LADIES,womens_pg,women,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
KPA MEN'S PG & HOSTEL,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
NESTORA CO-LIVING PG,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,,False,True,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Sai Balaji pg hostel for ladies,womens_pg,women,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Blue Shell,unknown,unknown,Adyar,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Yali Service Apartment,serviced_apartment,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,,,,unknown,,serviced apt (Palavakkam 600041); OTA only; ~Rs.1550/night,verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
Amman Men's PG Hostel,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Truliv Hercules - Co-living space & PG in Navalur,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,https://truliv.in/,True,True,True,,,,unknown,,operator portal -> rejected,verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Star Men's Pg Accommodation,mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Sabari Residency,residential_apartment,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Subodhaya Paying Guest Accommodation (for Ladies),womens_pg,women,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,REAL ladies PG Thiruvanmiyur; directory listing only,verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
PG in Perungudi - Sampoorna Nilayam,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
StayBro Co-Living Spaces,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Season 4 Rentals,serviced_apartment,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://season4.in/season-4-rentals-thiruvanmiyur/,True,False,True,,,,unknown,,"own serviced-apt site; daily/monthly basis, price behind booking link",verified_real_first_party_site,real,vishful_dashboard_screenshot,2026-08-14
Yube1 Continental League - PG in Perungudi | Coliving PG,co_living,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Yube1 Zen League - PG in Thoraipakkam | Coliving PG,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Maayaas Stay Ladies Hostel,womens_pg,women,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,hotel,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,,,,unknown,,real budget hotel (Prohotel); OTA only; nightly,verified_real_no_independent_first_party,real,vishful_dashboard_screenshot,2026-08-14
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,co_living,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Chippy Inn,unknown,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
SRP The Pavilion,unknown,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Ojas Grand PG for Men,mens_pg,men,Perungudi,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,,,,unknown,,"REAL: Thiruvengadam Nagar Perungudi 600096, ph 9789833624; aggregators only",verified_real_no_first_party,real,vishful_dashboard_screenshot,2026-08-14
Truliv Sofia - Co-living space & PG in Siruseri,co_living,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://truliv.in/,True,True,True,,,,unknown,,operator portal -> rejected,verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Kripa Homes pg thiruvanmiyur,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://kripahomes.com/pg-thiruvanmiyur/,True,False,False,,,,unknown,,"own PG site; sharing tiers shown, no price",verified_real_first_party_site,real,vishful_dashboard_screenshot,2026-08-14
OLive Inn PG for Men,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
D and A BOUTIQUE HOTEL,hotel,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Yube1 Madras League - PG in Chetpet | Coliving PG,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
VJB APARTMENT (PG Sholinganallur / AC PG for Men ),mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Yube1 Sarmani,unknown,unknown,Chennai,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,,,,unknown,,operator portal (not independent competitor first-party price),verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Kolam Gandhi Serviced Apartments,serviced_apartment,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://kolamapartments.com/,True,False,True,,,,unknown,,own serviced-apt site; nightly rate only (not per-bed) -> rejected,verified_real_first_party_site,real,vishful_dashboard_screenshot,2026-08-14
Raga's PG (Paying Guest) Boy's Hostel,mens_pg,men,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
VJB House PG,pg_unknown_gender,unknown,Chennai,,unknown_locality,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
The Adyar House Boutique Homestays,serviced_apartment,unknown,Adyar,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
The K11 Golden Gate - Chennai,unknown,unknown,Adyar,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
Stanza Living Fernley House | Coliving PG in Urapakkam,co_living,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,https://www.stanzaliving.com/,True,True,True,,,,unknown,,operator/aggregator portal -> rejected,verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Stanza Living Conway House | Coliving PG in Navalur,co_living,unknown,Chennai,,unknown_locality,False,False,False,False,https://www.stanzaliving.com/,True,True,True,,,,unknown,,operator/aggregator portal -> rejected,verified_operator_site_rejected,real,vishful_dashboard_screenshot,2026-08-14
Olive Serviced Apartments,serviced_apartment,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://oliveservicedapartments.com/chennai,True,False,True,,,,unknown,,own serviced-apt site; nightly rate only -> rejected,verified_real_first_party_site,real,vishful_dashboard_screenshot,2026-08-14
Hotel O Guduvancheri Railway Station,hotel,unknown,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,True,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
SMS Gents Hostel,mens_pg,men,Kattankulathur,,coarse_far_>5km,False,False,False,False,,False,False,False,,,,unknown,,transcribed name; not individually web-verified this pass (far >5km / lower priority),not_independently_web_verified,unconfirmed,vishful_dashboard_screenshot,2026-08-14
