canonical_id,competitor_name,all_names,provenance,property_type,gender,evidence_class,locality,pincode,distance_km,distance_precision,within_1km,within_2km,within_3km,within_5km,official_url,official_site_verified,is_operator_or_aggregator,reject_as_pricing_source,has_first_party_price,comparable_perbed_sharing_ac,price_grain,monthly_rent_per_bed,price_source_url,price_confidence,price_evidence,is_dashboard_candidate,verification_status
wowlife coliving pflg perungudi,WowLife Coliving PFLG (Perungudi),WowLife Coliving PFLG (Perungudi),dashboard,co_living,unknown,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
zara coliving space  mens pg thoraipakkam,Zara Co-Living Space - Men's PG/ Thoraipakkam,Zara Co-Living Space - Men's PG/ Thoraipakkam,dashboard,co_living,men,verified_real,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
eden coliving space,Eden Coliving Space,Eden Coliving Space,dashboard,co_living,unknown,verified_real,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
green apple residency,Green Apple Residency,Green Apple Residency,dashboard,residential_apartment,unknown,verified_real,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
skylinn stays omr perungudi  best hotel rooms chennai,Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,dashboard,hotel,unknown,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
whites inn vandalur,WHITES INN VANDALUR,WHITES INN VANDALUR,dashboard,serviced_apartment,unknown,verified_real,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,True,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
sri venkata vishnu priya gents hostel,Sri Venkata Vishnu Priya Gents Hostel,Sri Venkata Vishnu Priya Gents Hostel,dashboard,mens_pg,men,verified_real,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
sri_mahalakshmi_pg,Sri Mahalakshmi PG Accommodation,Sri Mahalakshmi PG (Men) || Sri Mahalakshmi PG Accommodation,"dashboard,first_party_web,independent_web_verification",pg_unknown_gender,unknown,verified_real,Perungudi,600096,3.5,suburb_centroid_perungudi,False,False,False,True,https://mahalakshmipgaccommodation.com/,True,False,False,False,False,unknown,,,unknown,,True,verified_real_first_party_site
aostel  mens pg hostel in anna salai,Aostel - Men's PG/ Hostel in Anna Salai,Aostel - Men's PG/ Hostel in Anna Salai,dashboard,mens_pg,men,verified_real,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
excellent mens pg accomodation  mens hostel in thiruvanmiyur  boys hostel in thiruvanmiyur,EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,dashboard,mens_pg,men,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,identity_unconfirmed_no_first_party
stay n tour home  best rooms in adyar,Stay N Tour Home | Best Rooms In Adyar,Stay N Tour Home | Best Rooms In Adyar,dashboard,serviced_apartment,unknown,identity_unconfirmed,Adyar,,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
srk hostel,SRK Hostel,SRK Hostel,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sps mens pg  boys hostel  mens hostel in thousand lights  nungambakkam  mountroad,SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
riya ladies pg,Riya Ladies PG,Riya Ladies PG,dashboard,womens_pg,women,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
venkat ramana pg hostel for gents,Venkat Ramana PG hostel for Gents,Venkat Ramana PG hostel for Gents,dashboard,mens_pg,men,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
bhavani pg,Bhavani pg,Bhavani pg,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,identity_unconfirmed_no_first_party
tsp_pg,TSP PG ACCOMADTION,TSP MENS PG || TSP PG ACCOMADTION || TSP PG Accommodation || TSP PG Accommodation (Boys),"dashboard,first_party_web,groq_discovery,independent_web_verification",pg_unknown_gender,unknown,verified_real,Thiruvanmiyur,600041,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://tsppgaccommodation.com/,True,False,False,False,False,unknown,,,unknown,,True,verified_real_first_party_site
nestora elite pg in perungudi  mens pg new building,NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),dashboard,mens_pg,men,operator_aggregator,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,True,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
sri sai balaji ladies pg,Sri Sai Balaji Ladies PG,Sri Sai Balaji Ladies PG,dashboard,womens_pg,women,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
oragadam rooms,Oragadam Rooms,Oragadam Rooms,dashboard,unknown,unknown,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
yube1 premier league  pg in thiruvanmiyur  coliving pg,Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
the royal inn gents pg,The Royal Inn Gents PG,The Royal Inn Gents PG,dashboard,mens_pg,men,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
the royal inn ladies pg maple nest,The Royal Inn Ladies Pg (Maple Nest),The Royal Inn Ladies Pg (Maple Nest),dashboard,womens_pg,women,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sri sai grn mens pg  hostel,Sri Sai Grn Men's Pg & Hostel,Sri Sai Grn Men's Pg & Hostel,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
mr regency pg hostel,MR Regency PG Hostel,MR Regency PG Hostel,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Adyar,,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
venkat ramana pg hostel for ladies,Venkat Ramana PG Hostel for Ladies,Venkat Ramana PG Hostel for Ladies,dashboard,womens_pg,women,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
mg park,MG Park,MG Park,dashboard,unknown,unknown,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
sree sai pg,Sree sai pg,Sree sai pg,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
yube1 capital league  pg in porur  coliving pg,Yube1 Capital League - PG in Porur | Coliving PG,Yube1 Capital League - PG in Porur | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Chennai,,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
swarna sudarshan serviced apartments adyar chennai  hotel rooms in adyar,"Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar","Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar",dashboard,hotel,men,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
wowlife coliving  hernest,Wowlife Coliving - HerNest,Wowlife Coliving - HerNest,dashboard,co_living,women,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sneha pg,SNEHA PG,SNEHA PG,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,identity_weak_no_first_party
oester hostel for boys,Oester Hostel for Boys,Oester Hostel for Boys,dashboard,mens_pg,men,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
the shivam living pg for mens,THE SHIVAM LIVING PG FOR MEN'S,THE SHIVAM LIVING PG FOR MEN'S,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
stay green pg,STAY GREEN PG,STAY GREEN PG,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
chippy inn tharamani,Chippy Inn Tharamani,Chippy Inn Tharamani,dashboard,serviced_apartment,unknown,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
mcity elite suites,MCity Elite Suites,MCity Elite Suites,dashboard,serviced_apartment,unknown,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
sree_siddhi_vinayaka,Sree Siddhi Vinayaka Mens PG,Sree Siddhi Vinayaka Mens PG,dashboard,mens_pg,men,verified_real,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
sms ladies hostel,SMS LADIES HOSTEL,SMS LADIES HOSTEL,dashboard,womens_pg,women,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sv pg accommodation,SV PG Accommodation,SV PG Accommodation,dashboard,pg_unknown_gender,unknown,out_of_area,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,identity_ambiguous_possible_out_of_area
staylite suites thiruvanmiyur chennai  hotels in omr,Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,dashboard,hotel,unknown,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
whites inn nearby kilambakkam new bus terminal,WHITES INN Nearby Kilambakkam New Bus Terminal,WHITES INN Nearby Kilambakkam New Bus Terminal,dashboard,serviced_apartment,unknown,verified_real,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,True,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
the royal inn ladies pg,The Royal Inn Ladies PG,The Royal Inn Ladies PG,dashboard,womens_pg,women,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sri venkateswara mens kr hostelpg,Sri Venkateswara mens kR hostel/PG,Sri Venkateswara mens kR hostel/PG,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sri laxmi balaji pg for ladies,SRI LAXMI BALAJI PG FOR LADIES,SRI LAXMI BALAJI PG FOR LADIES,dashboard,womens_pg,women,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
dreams neelankarai,Dreams Neelankarai,Dreams Neelankarai,dashboard,unknown,unknown,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
naveens hifi pg flat and hostel only for girls,NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,dashboard,womens_pg,women,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,identity_unconfirmed_no_first_party
best mens pg,Best Men's PG,Best Men's PG,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,identity_unconfirmed_generic_name
vstay inn pg for ladies,VSTAY INN PG FOR LADIES,VSTAY INN PG FOR LADIES,dashboard,womens_pg,women,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
kpa mens pg  hostel,KPA MEN'S PG & HOSTEL,KPA MEN'S PG & HOSTEL,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
nestora coliving pg,NESTORA CO-LIVING PG,NESTORA CO-LIVING PG,dashboard,co_living,unknown,operator_aggregator,Chennai,,,unknown_locality,False,False,False,False,,False,True,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
sai balaji pg hostel for ladies,Sai Balaji pg hostel for ladies,Sai Balaji pg hostel for ladies,dashboard,womens_pg,women,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
blue shell,Blue Shell,Blue Shell,dashboard,unknown,unknown,identity_unconfirmed,Adyar,,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
yali service apartment,Yali Service Apartment,Yali Service Apartment,dashboard,serviced_apartment,men,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
amman mens pg hostel,Amman Men's PG Hostel,Amman Men's PG Hostel,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
truliv hercules  coliving space  pg in navalur,Truliv Hercules - Co-living space & PG in Navalur,Truliv Hercules - Co-living space & PG in Navalur,dashboard,co_living,unknown,operator_aggregator,Chennai,,,unknown_locality,False,False,False,False,https://truliv.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
star_mens_pg,Star Men's Pg Accommodation,Star Men's Pg Accommodation || Star Mens PG,"dashboard,groq_discovery",mens_pg,men,identity_unconfirmed,Thiruvanmiyur,600041,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sabari residency,Sabari Residency,Sabari Residency,dashboard,residential_apartment,unknown,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
subodhaya paying guest accommodation for ladies,Subodhaya Paying Guest Accommodation (for Ladies),Subodhaya Paying Guest Accommodation (for Ladies),dashboard,womens_pg,women,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
pg in perungudi  sampoorna nilayam,PG in Perungudi - Sampoorna Nilayam,PG in Perungudi - Sampoorna Nilayam,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
staybro coliving spaces,StayBro Co-Living Spaces,StayBro Co-Living Spaces,dashboard,co_living,unknown,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
season4,Season 4 Rentals,Season 4 Rentals,dashboard,serviced_apartment,unknown,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://season4.in/season-4-rentals-thiruvanmiyur/,True,False,True,False,False,unknown,,,unknown,,True,verified_real_first_party_site
yube1 continental league  pg in perungudi  coliving pg,Yube1 Continental League - PG in Perungudi | Coliving PG,Yube1 Continental League - PG in Perungudi | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
yube1 zen league  pg in thoraipakkam  coliving pg,Yube1 Zen League - PG in Thoraipakkam | Coliving PG,Yube1 Zen League - PG in Thoraipakkam | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Chennai,,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
maayaas stay ladies hostel,Maayaas Stay Ladies Hostel,Maayaas Stay Ladies Hostel,dashboard,womens_pg,women,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
stay easy tiruvanmiyur chennai  hotels near apollo proton,Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,dashboard,hotel,unknown,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,verified_real_no_independent_first_party
yube1 millennial campus  pg in nungambakkam  coliving pg,Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Chennai,,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
yube1 alpha league  pg in thiruvanmiyur  coliving pg,Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
chippy inn,Chippy Inn,Chippy Inn,dashboard,unknown,unknown,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
srp the pavilion,SRP The Pavilion,SRP The Pavilion,dashboard,unknown,unknown,identity_unconfirmed,Kattankulathur,,,coarse_far_>5km,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
ojas_grand,Ojas Grand PG for Men,Ojas Grand PG for Men,dashboard,mens_pg,men,verified_real,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
truliv sofia  coliving space  pg in siruseri,Truliv Sofia - Co-living space & PG in Siruseri,Truliv Sofia - Co-living space & PG in Siruseri,dashboard,co_living,unknown,operator_aggregator,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://truliv.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
kripa_homes,Kripa Homes pg thiruvanmiyur,Kripa Homes PG (Men) || Kripa Homes pg thiruvanmiyur,"dashboard,first_party_web,independent_web_verification",pg_unknown_gender,unknown,verified_real,Thiruvanmiyur,600041,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://kripahomes.com/pg-thiruvanmiyur/,True,False,False,False,False,unknown,,,unknown,,True,verified_real_first_party_site
olive inn pg for men,OLive Inn PG for Men,OLive Inn PG for Men,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
d and a boutique hotel,D and A BOUTIQUE HOTEL,D and A BOUTIQUE HOTEL,dashboard,hotel,unknown,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
yube1 madras league  pg in chetpet  coliving pg,Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1 Madras League - PG in Chetpet | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Chennai,,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
vjb apartment pg sholinganallur  ac pg for men,VJB APARTMENT (PG Sholinganallur / AC PG for Men ),VJB APARTMENT (PG Sholinganallur / AC PG for Men ),dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
yube1 sarmani,Yube1 Sarmani,Yube1 Sarmani,dashboard,unknown,unknown,operator_aggregator,Chennai,,,unknown_locality,False,False,False,False,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
kolam_serviced,Kolam Gandhi Serviced Apartments,Kolam Gandhi Serviced Apartments,dashboard,serviced_apartment,men,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,https://kolamapartments.com/,True,False,True,False,False,unknown,,,unknown,,True,verified_real_first_party_site
ragas pg paying guest boys hostel,Raga's PG (Paying Guest) Boy's Hostel,Raga's PG (Paying Guest) Boy's Hostel,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
vjb house pg,VJB House PG,VJB House PG,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
the adyar house boutique homestays,The Adyar House Boutique Homestays,The Adyar House Boutique Homestays,dashboard,serviced_apartment,unknown,identity_unconfirmed,Adyar,,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
the k11 golden gate  chennai,The K11 Golden Gate - Chennai,The K11 Golden Gate - Chennai,dashboard,unknown,unknown,identity_unconfirmed,Adyar,,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
stanza living fernley house  coliving pg in urapakkam,Stanza Living Fernley House | Coliving PG in Urapakkam,Stanza Living Fernley House | Coliving PG in Urapakkam,dashboard,co_living,unknown,operator_aggregator,Kattankulathur,,,coarse_far_>5km,False,False,False,False,https://www.stanzaliving.com/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
