property_name,locality,address,pincode,operator,operator_source_type,identity_confidence,universe_version,source_platform,source_url,sharing_type,published_rent,amenities,provenance,status
TSP PG ACCOMADTION,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),https://tsppgaccommodation.com/,,,,"dashboard,first_party_web,groq_discovery,independent_web_verification",baseline
NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),Thiruvanmiyur,,nan,operator,operator:operator,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sri Sai Balaji Ladies PG,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Oragadam Rooms,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Thiruvanmiyur,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
The Royal Inn Gents PG,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
The Royal Inn Ladies Pg (Maple Nest),Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sri Sai Grn Men's Pg & Hostel,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
MR Regency PG Hostel,Adyar,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Venkat Ramana PG Hostel for Ladies,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
MG Park,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sree sai pg,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Yube1 Capital League - PG in Porur | Coliving PG,Chennai,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
"Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar",Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Wowlife Coliving - HerNest,Chennai,,nan,WowLife,operator:WowLife,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SNEHA PG,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Oester Hostel for Boys,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
THE SHIVAM LIVING PG FOR MEN'S,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
STAY GREEN PG,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Chippy Inn Tharamani,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
MCity Elite Suites,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sree Siddhi Vinayaka Mens PG,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SMS LADIES HOSTEL,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SV PG Accommodation,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
WHITES INN Nearby Kilambakkam New Bus Terminal,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
The Royal Inn Ladies PG,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sri Venkateswara mens kR hostel/PG,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SRI LAXMI BALAJI PG FOR LADIES,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Dreams Neelankarai,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Best Men's PG,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
VSTAY INN PG FOR LADIES,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
KPA MEN'S PG & HOSTEL,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
NESTORA CO-LIVING PG,Chennai,,nan,operator,operator:operator,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sai Balaji pg hostel for ladies,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Blue Shell,Adyar,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Yali Service Apartment,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Amman Men's PG Hostel,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Truliv Hercules - Co-living space & PG in Navalur,Chennai,,nan,Truliv,operator:Truliv,baseline,v1,master (phase1 discovery),https://truliv.in/,,,,dashboard,baseline
Star Men's Pg Accommodation,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,"dashboard,groq_discovery",baseline
Sabari Residency,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Subodhaya Paying Guest Accommodation (for Ladies),Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
PG in Perungudi - Sampoorna Nilayam,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
StayBro Co-Living Spaces,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Season 4 Rentals,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),https://season4.in/season-4-rentals-thiruvanmiyur/,,,,dashboard,baseline
Yube1 Continental League - PG in Perungudi | Coliving PG,Thiruvanmiyur,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
Yube1 Zen League - PG in Thoraipakkam | Coliving PG,Chennai,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
Maayaas Stay Ladies Hostel,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,Chennai,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,Thiruvanmiyur,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
Chippy Inn,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SRP The Pavilion,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Ojas Grand PG for Men,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Truliv Sofia - Co-living space & PG in Siruseri,Thiruvanmiyur,,nan,Truliv,operator:Truliv,baseline,v1,master (phase1 discovery),https://truliv.in/,,,,dashboard,baseline
Kripa Homes pg thiruvanmiyur,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),https://kripahomes.com/pg-thiruvanmiyur/,,,,"dashboard,first_party_web,independent_web_verification",baseline
OLive Inn PG for Men,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
D and A BOUTIQUE HOTEL,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Yube1 Madras League - PG in Chetpet | Coliving PG,Chennai,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
VJB APARTMENT (PG Sholinganallur / AC PG for Men ),Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Yube1 Sarmani,Chennai,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
Kolam Gandhi Serviced Apartments,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),https://kolamapartments.com/,,,,dashboard,baseline
Raga's PG (Paying Guest) Boy's Hostel,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
VJB House PG,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
The Adyar House Boutique Homestays,Adyar,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
The K11 Golden Gate - Chennai,Adyar,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Stanza Living Fernley House | Coliving PG in Urapakkam,Kattankulathur,,nan,Stanza Living,operator:Stanza Living,baseline,v1,master (phase1 discovery),https://www.stanzaliving.com/,,,,dashboard,baseline
Stanza Living Conway House | Coliving PG in Navalur,Chennai,,nan,Stanza Living,operator:Stanza Living,baseline,v1,master (phase1 discovery),https://www.stanzaliving.com/,,,,dashboard,baseline
Olive Serviced Apartments,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),https://oliveservicedapartments.com/chennai,,,,dashboard,baseline
Hotel O Guduvancheri Railway Station,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SMS Gents Hostel,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Diyaa Paying Guest,"Indira Nagar, Adyar",,600020,independent,independent,baseline,v1,master (phase1 discovery),https://menspg.in/,,,,"first_party_web,independent_web_verification",baseline
Sumathi Illam,nan,,nan,independent,independent,baseline,v1,master (phase1 discovery),https://mypgatchennai.com/,,,,"first_party_web,independent_web_verification",baseline
Feel At Home Ladies Hostel,Perungudi / Thoraipakkam OMR,,600096/600097,independent,independent,baseline,v1,master (phase1 discovery),https://www.hostelforladies.com/,,,,"first_party_web,independent_web_verification",baseline
Emy PG Accommodation (Men),"Thiruvanmiyur (14 units), Adyar (3), Besant Nagar (1), Semmancheri (1)",,600041,independent,independent,baseline,v1,master (phase1 discovery),https://emypgaccommodation.in/,,,,"first_party_web,groq_discovery,independent_web_verification",baseline
Sri Maha Hostels (Ladies),"Kamaraj Nagar, Thiruvanmiyur",,600041,independent,independent,baseline,v1,master (phase1 discovery),https://www.srimahahostels.com/our-branches.php,,,,"first_party_web,independent_web_verification",baseline
Tidel Hostel (Co-ed),"Kamaraj Nagar West, Thiruvanmiyur",,600041,independent,independent,baseline,v1,master (phase1 discovery),https://tidelhostel.com/,,,,"first_party_web,independent_web_verification",baseline
SVH Gents PG,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,groq_discovery,baseline
Triples Men's PG,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,groq_discovery,baseline
Olympia Jayanthi Residences,Thiruvanmiyur,,600041,Olympia,operator:Olympia,baseline,v1,master (phase1 discovery),https://www.olympiagroup.in/olympia-jayanthi-residence/index.html,,,,groq_discovery,baseline
Kushi Enclave,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,groq_discovery,baseline
Lancor Sonnet Square,Thiruvanmiyur,,600041,Lancor,operator:Lancor,baseline,v1,master (phase1 discovery),https://lancor.in/completed-projects-chennai/,,,,groq_discovery,baseline
Bress Flat,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,groq_discovery,baseline
11L - K427 Apartments,Thiruvanmiyur,,600041,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,groq_discovery,baseline
Stanza Living,"Thiruvanmiyur, Chennai",,600041,Stanza Living,operator:Stanza Living,baseline,v1,master (phase1 discovery),https://www.stanzaliving.com/,,,,groq_discovery,baseline
Zolo,"Thiruvanmiyur, Chennai",,600041,Zolo,operator:Zolo,baseline,v1,master (phase1 discovery),https://zolostays.com/,,,,groq_discovery,baseline
Yube1 Liberty League,"Thiruvanmiyur, Chennai",,600041,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),nan,,,,groq_discovery,baseline
Bag2Bag Service Apartments,"Thiruvanmiyur, Chennai",,600041,Bag2Bag,operator:Bag2Bag,baseline,v1,master (phase1 discovery),https://bag2bag.in/,,,,groq_discovery,baseline
Kayal Ladies Hostel,Thiruvanmiyur,"Old No 63 New No 48, Upstairs Of Poorvika, Opposite to RTO, East Coast Road, Thiruvanmiyur, Chennai-600041",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Kayal-Ladies-Hostel-Upstairs-Of-Poorvika-Opposite-To-Rto-Thiruvanmiyur/044PXX44-XX44-231013220151-N8R8_BZDET,3-share (AC and non-AC rooms),,"breakfast, lunch and dinner included; AC and non-AC rooms",platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Sivasakthi Ladies Hostel Pg,Thiruvanmiyur,"Near Thiruvanmiyur Post Office, Thiruvanmiyur, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Sivasakthi-Ladies-Hostel-Pg-Near-Thiruvanmiyur-Post-Office-Thiruvanmiyur/044PXX44-XX44-130719193027-Q9H4_BZDET,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Le Royal Pg For Ladies,Thiruvanmiyur,"Near Thiruvanmiyur post office, Bharathi Nagar, Thiruvanmiyur, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Le-Royal-PG-for-Ladies-Near-Thiruvanmiyur-post-office-Thiruvanmiyur/044PXX44-XX44-160218150221-V6H8_BZDET,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Prema's Ladies P G,Thiruvanmiyur,"Near Valmiki Nagar, Thiruvalluvar Nagar, 53rd Cross Street, Thiruvanmiyur, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Premas-Ladies-P-G-Near-Valmiki-Nagar-Thiruvalluvar-Nagar-Thiruvanmiyur/044PXX44-XX44-230819062701-U9C9_BZDET,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Mpr Womens Pg,Thiruvanmiyur,"Near By Amma Unavagam, Thiruvanmiyur, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Mpr-Womens-Pg-Near-By-Amma-Unavagam-Thiruvanmiyur/044PXX44-XX44-220829115036-J4K4_BZDET,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Homely Women's Pg,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Homely-WomenS-Pg-Thiruvanmiyur/044PXX44-XX44-250404220759-J7A7_BZDET,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Subham Women's & Men's Hostel,Thiruvanmiyur,"4th Main Road, Near Sankara School, Kamaraj Nagar, Thiruvanmiyur, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Subham-Womens-Mens-Hostel-Near-Sankara-School-Kamaraj-Nagar-Thiruvanmiyur/044PXX44-XX44-181225224606-Y9F1_BZDET,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Divya Sri PG Ladies & Gents Hostel,Thiruvanmiyur,"Thiruvanmiyur, Chennai-600041",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/divya-sri-pg-ladies-gents-hostel-thiruvanmiyur-chennai-contact-address,AC and Non-AC rooms,,"common TV, 2-wheeler parking, Wi-Fi/Broadband, drinking water, washing machine, refrigerator",platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Bliss Women's Hostel,Thiruvanmiyur,"Thiruvanmiyur, Chennai-600041",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/bliss-women-s-hostel-thiruvanmiyur-chennai-contact-address,,,spacious and hygienic rooms for students and working women,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Sa Guest Inn,Thiruvanmiyur,"70 ECR, opposite RTO office / 22-38 Kamraj Nagar 3rd Street, Thiruvanmiyur, Chennai-600041 (separate mens and womens blocks)",,independent,independent,high,v2,Sulekha / gopgo / 99acres,https://www.sulekha.com/pg/thiruvanmiyur-chennai,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Ivalin Kudil Ladies PG Hostel,Thiruvanmiyur,"97/2, TM Maistry St, Vannanthurai, Thiruvanmiyur, Chennai, Tamil Nadu 600041",,independent,independent,high,v2,Own website (Vercel),https://ivalinkudilsite.vercel.app/,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
SSM Working Womens Hostel,Thiruvanmiyur,"H No 2, SSM Building, Gangaiamman Koil Street, Thiruvanmiyur, Chennai",,independent,independent,high,v2,gopgo (PGO),https://www.gopgo.in/chennai/thiruvanmiyur/hostel/1290-ssm-working-womens-hostel/pgo-properties,"2-share, 3-share, 4-share",,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Nakshatra Stay Ladies P.G,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,independent,independent,high,v2,gopgo (PGO),https://www.gopgo.in/chennai/thiruanmiyur/pg/8249-nakshatra-stay-ladies-p-g/pgo-properties,,,,platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Staylogy Thyme,Thiruvanmiyur,"6th Floor, New No 111, Old No 59, L.B Road, Thiruvanmiyur, Chennai-600041",,independent,independent,high,v2,Staylogy (operator website),https://staylogy.co.in/property/thyme/,"single, 2-sharing, 3-sharing","Single from Rs 18,000; 2-sharing from Rs 14,500; 3-sharing from Rs 12,500","WiFi, food, security, coliving amenities",platform listing sweep (thiruvanmiyur); identity confirmed name+locality,verified
Twilight Enterprises (Twilight PG Accommodation),"Indira Nagar, Adyar, Chennai 600020","53/6, Ground Floor, 15th Lane, Indira Nagar, Adyar, Chennai 600020 (near Indra Nagar water tank / opp Ramanujam IT Park)",,independent,independent,high,v2,Sulekha; Justdial,https://www.sulekha.com/pg-for-mens/adyar-chennai,not displayed,not displayed,"AC, WiFi, parking, washing machine, kitchen",platform listing sweep (adyar); identity confirmed name+locality,verified
Mother Teresa Ladies Hostel,"Adyar, Chennai 600020","Adyar, Chennai 600020 (2 min from bus stand); other branches at Royapettah and Thoraipakkam",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/mother-teresa-ladies-hostel-adyar-chennai-contact-address,not displayed,"Rs. 2,500 - 6,000","beds, cupboards, 24-hour water, 24-hour security, parking",platform listing sweep (adyar); identity confirmed name+locality,verified
Kongu Paying Guest,"Indira Nagar, Adyar, Chennai","Indira Nagar, Adyar, Chennai",,independent,independent,high,v2,Hexahome; PGchoice,https://www.hexahome.in/kongu-paying-guest-pg-in-adyar-chennai-id-26W7V2/,not displayed,"Rs. 10,000 onwards","fully furnished, vegetarian food only",platform listing sweep (adyar); identity confirmed name+locality,verified
UGAN PG Hostel,"Adyar, Chennai","Adyar, Chennai",,independent,independent,high,v2,Hexahome,https://www.hexahome.in/ugan-pg-hostel-in-adyar-chennai-id-5FMRLY/,private and shared rooms,"Rs. 10,000 onwards","fully furnished, 3 floors",platform listing sweep (adyar); identity confirmed name+locality,verified
RMJ Ladies PG (Executive Hostel),"Perungudi (Seevaram), Chennai 600096","Near Budget Super Market / Seevaram, Perungudi",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Rmj-Ladies-Pg-Executive-Hostel-Perungudi-Seevaram/044PXX44-XX44-180831235539-H7F1_BZDET,,,,platform listing sweep (perungudi); identity confirmed name+locality,verified
Sri Srinivasa PG for Ladies,"Kandanchavadi, Perungudi, Chennai 600096","No. 134/135, MGR Road, Govindaswamy Nagar, Kandanchavadi, Perungudi",,independent,independent,high,v2,Justdial / Sulekha,https://www.sulekha.com/sri-srinivasa-pg-for-ladies-perungudi-chennai-contact-address,"3-sharing, 4-sharing, 6-sharing, AC, non-AC",,"WiFi, washing machine, TV, North & South Indian food, 24/7 water, night security, CCTV",platform listing sweep (perungudi); identity confirmed name+locality,verified
Om Sai Nivas Mens PG,"Perungudi, Chennai 600096","Perungudi, Chennai 600096",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Om-Sai-Nivas-Mens-Pg-Perungudi/044PXX44-XX44-160811090702-T3V9_BZDET,,,"AC rooms, WiFi, CCTV, full power backup",platform listing sweep (perungudi); identity confirmed name+locality,verified
Ramya Men's PG (Hostel),"Thirumalai Nagar Annexe, Perungudi (OMR), Chennai 600096","Plot No. 8, 1st Main Road, Thirumalai Nagar Annexe, Perungudi, OMR",,independent,independent,high,v2,Justdial / Sulekha,https://www.sulekha.com/ramya-mens-pg-hostel-perungudi-chennai-contact-address,,,,platform listing sweep (perungudi); identity confirmed name+locality,verified
SLV Ladies PG (Slv Ladies Paying Guest),"Perungudi, Chennai 600096","Perungudi, Chennai",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Slv-Ladies-Pg-Perungudi/044PXX44-XX44-250728200326-N4T6_BZDET,,,,platform listing sweep (perungudi); identity confirmed name+locality,verified
A2J PG Accommodation,"Perungudi, Chennai 600096","Perungudi, Chennai 600096",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/a2j-pg-accommodation-perungudi-chennai-contact-address,,,,platform listing sweep (perungudi); identity confirmed name+locality,verified
PMD Gents Hostel,"Perungudi, Chennai 600096","Perungudi, Chennai 600096",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/pg-for-mens/perungudi-chennai,"2-sharing, 3-sharing","Rs.5,000 (2-share); Rs.4,500 (3-share)",,platform listing sweep (perungudi); identity confirmed name+locality,verified
Adhilakshmi Ladies Hostel,"Lakshmana Nagar, Perungudi, Chennai 600096","Lakshmana Nagar, Perungudi, Chennai 600096",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/pg-for-womens/perungudi-chennai,,"Rs.3,500 to 6,500/month",,platform listing sweep (perungudi); identity confirmed name+locality,verified
Sri Malarvizhi Mens Hostel,"Seevaram, Perungudi, Chennai 600096","Mahakavi Bharathiyar Street, Seevaram, Perungudi, Chennai 600096",,independent,independent,high,v2,Sulekha,https://www.sulekha.com/pg-for-mens/perungudi-chennai,,,,platform listing sweep (perungudi); identity confirmed name+locality,verified
Pk Inn Gents & Ladies Pg Hostel,Thoraipakkam,"No:12, R E Nagar, 5th Street, Thoraipakkam, Chennai - 600097",,independent,independent,high,v2,Justdial,https://www.justdial.com/Chennai/Pk-Inn-Gents-Ladies-Pg-Hostel-Thoraipakkam/044PXX44-XX44-180205205247-Y1H6_BZDET,,,,platform listing sweep (omr); identity confirmed name+locality,verified
