evidence_id,place_name,category,place_kind,usefulness,model_reason,reason_rejected,extractor,model,retrieval_date
EV-NEAR-035,Sri Sankara Vidyashram HSS,EDUCATION,education,useful,School indicated in name,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-036,National Institute of Fashion Technology - NIFT Chennai,EDUCATION,education,useful,College name matches tag,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-037,National Institute of Technical Teachers' Training and Research,EDUCATION,education,useful,College name matches tag,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-038,Spastic Society of india,EDUCATION,education,not_useful,"Charity name, not school",,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-039,State Bank of India,FINANCIAL,atm,useful,Bank provides ATM service,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-040,Indian Overseas Bank,FINANCIAL,bank,useful,Bank name matches tag,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-041,Indian Bank,FINANCIAL,atm,useful,Bank ATM service useful,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-042,State Bank of India,FINANCIAL,bank,useful,Bank service useful,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-043,Axis Bank,FINANCIAL,atm,useful,Bank ATM service useful,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-044,Yes Bank,FINANCIAL,bank,useful,Bank service useful,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-045,Indian Bank,FINANCIAL,bank,useful,Bank service useful,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-046,HDFC Bank,FINANCIAL,bank,useful,Bank service useful,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-047,State Bank of India,FINANCIAL,atm,useful,Bank ATM service useful,,groq,openai/gpt-oss-120b,2026-08-27
EV-NEAR-048,IndusInd Bank,FINANCIAL,atm,useful,Bank ATM service useful,,groq,openai/gpt-oss-120b,2026-08-27
